model,threshold_mode,threshold,val_fpr,val_tpr,eval_fpr,eval_tpr,eval_precision,eval_f1,eval_auroc,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,tpr_novel,n_novel
rf,fixed,0.03292,0.01,0.9994,0.0862,0.9217,0.708,0.8008,0.9875,0.9763,4337,0.9983,17383,0.87,30334,,0
rf,recalibrated,0.36329,0.01,0.9994,0.01,0.8103,0.9483,0.8739,0.9875,0.872,4337,0.9961,17383,0.6951,30334,,0
xgboost,fixed,0.016135,0.01,0.9996,0.0233,0.8891,0.8962,0.8926,0.9886,0.9202,4337,0.9982,17383,0.8222,30334,,0
xgboost,recalibrated,0.666178,0.01,0.9996,0.01,0.8253,0.9492,0.883,0.9886,0.8349,4337,0.9959,17383,0.7262,30334,,0
autoencoder,fixed,5.043614,0.01,0.231,0.035,0.132,0.4608,0.2053,0.8932,0.0228,4337,0.1696,17383,0.1261,30334,,0
autoencoder,recalibrated,6.338439,0.01,0.231,0.01,0.0198,0.3102,0.0373,0.8932,0.0028,4337,0.0586,17383,0.0001,30334,,0
