defense,defense_s_mean,fit_s_mean,n_jobs,overhead_vs_fit
d1_E8_g2,0.00021556199999390001,1.550613599999997,5,0.00013901722517711726
knn,0.16846069299990626,1.1455723290000241,5,0.1470537378874684
loss,0.7936347300000489,1.4851217030001134,5,0.5343903657167067
