challenger,vs,retention_axis,challenger_recovery,ref_recovery,challenger_retention,ref_retention,dominates_by_mean,challenger_recovery_r0.9,ref_recovery_r0.9,P_dominates_bootstrap,dominates_at_both_ratios
d1_E16_g1,knn,synthetic r0.05,0.9473085805649316,0.9894563865695506,0.6449086161879896,0.4234986945169713,False,,0.9909010358103312,0.035,False
d1_E16_g1,knn,synthetic r0.2,0.9473085805649316,0.9894563865695506,0.9470437017994857,0.7840616966580977,False,,0.9909010358103312,0.0355,False
d1_E16_g1,knn,cicids r0.2,0.9473085805649316,0.9894563865695506,0.6561942959001783,0.6584224598930482,False,,0.9909010358103312,0.006,False
d1_E16_g1,uniform_w0.1,synthetic r0.05,0.9473085805649316,0.988807958784864,0.6449086161879896,0.9122715404699739,False,,0.4332941255719238,0.0,False
d1_E16_g1,uniform_w0.1,synthetic r0.2,0.9473085805649316,0.988807958784864,0.9470437017994857,0.9763496143958869,False,,0.4332941255719238,0.0,False
d1_E16_g1,uniform_w0.1,cicids r0.2,0.9473085805649316,0.988807958784864,0.6561942959001783,0.7410873440285204,False,,0.4332941255719238,0.0,False
d1_E16_g1,uniform_w0.05,synthetic r0.05,0.9473085805649316,0.9980547166459407,0.6449086161879896,0.7107049608355093,False,,0.5220504795610112,0.0,False
d1_E16_g1,uniform_w0.05,synthetic r0.2,0.9473085805649316,0.9980547166459407,0.9470437017994857,0.9604113110539844,False,,0.5220504795610112,0.0,False
d1_E16_g1,uniform_w0.05,cicids r0.2,0.9473085805649316,0.9980547166459407,0.6561942959001783,0.7054367201426025,False,,0.5220504795610112,0.00025,False
d1_E16_g1,sharecap_c0.03,synthetic r0.05,0.9473085805649316,1.0028690708829278,0.6449086161879896,0.9932114882506528,False,,1.001409406753753,0.0,False
d1_E16_g1,sharecap_c0.03,synthetic r0.2,0.9473085805649316,1.0028690708829278,0.9470437017994857,0.9789203084832905,False,,1.001409406753753,0.0,False
d1_E16_g1,sharecap_c0.03,cicids r0.2,0.9473085805649316,1.0028690708829278,0.6561942959001783,0.7366310160427807,False,,1.001409406753753,0.0,False
d1_E16_g1,sharecap_c0.05,synthetic r0.05,0.9473085805649316,0.999475928228815,0.6449086161879896,0.9984334203655354,False,,1.0004456212530248,0.0,False
