defense,family,recovery_r0.5,recovery_r0.5_boot_sd,residual_fpr_rise_r0.5,retention_synthetic r0.05,retention_synthetic r0.05_boot_sd,retention_synthetic r0.2,retention_synthetic r0.2_boot_sd,retention_cicids r0.2,retention_cicids r0.2_boot_sd,s0_mean_weight_synthetic,s0_mean_weight_cicids,recovery_r0.9,recovery_r0.9_boot_sd
d1_E16_g1,D1,0.9473085805649316,0.011807877399773563,0.02966,0.6449086161879896,0.03198002918101326,0.9470437017994857,0.004989350722106609,0.6561942959001783,0.09800870748146213,0.10938734912918242,0.6354875891346238,,
d1_E16_g2,D1,0.9563865695505418,0.008809526415499156,0.02455,0.02924281984334205,0.016238205831189744,0.12236503856041131,0.016883111885844397,0.6501782531194298,0.10114557826973734,0.031422208412141696,0.4636485132589903,,
d1_E16_g3,D1,0.9650737253508616,0.007161669042611964,0.01966,0.01984334203655353,0.015481688724201952,0.03239074550128534,0.015372057231740498,0.6472816399286989,0.10253085572233361,0.015290815361423144,0.3476047967918793,,
d1_E2_g1,D1,0.3953721797832652,0.2168404401291481,0.34034499999999995,0.9822454308093996,0.002583934732651956,0.988688946015424,0.0019746400437889093,0.7711675579322638,0.06686999771346036,0.5435389884835266,0.962381574164047,,
d1_E2_g2,D1,0.8508527269497246,0.030434905561154683,0.08395500000000002,0.9148825065274152,0.010292072016189558,0.9763496143958869,0.0016585799566660926,0.6700089126559715,0.09504338935342198,0.4162876762433566,0.9563457838469557,,
d1_E2_g3,D1,0.8655800319772606,0.026677867193785464,0.07566500000000001,0.7127937336814623,0.024371270880839315,0.9424164524421592,0.004587389833453729,0.6635472370766489,0.09585881795208724,0.3611053091093218,0.9544957180043567,,
d1_E32_g1,D1,0.9731923965180316,0.007784115780424596,0.015090000000000001,0.36657963446475195,0.017440658573089702,0.873521850899743,0.0154021376675862,0.6581996434937611,0.09473814576120126,0.05481843147495178,0.31783096201396854,,
d1_E32_g2,D1,0.9910463670278913,0.0026592367569522163,0.005040000000000001,0.02767624020887729,0.015908698218344355,0.04010282776349617,0.015735237280617966,0.6439393939393939,0.10275721133905184,0.007993203342336098,0.11604048375767373,,
d1_E32_g3,D1,0.9939864984899627,0.0017431312350041088,0.003385,0.025065274151436046,0.013468527888912311,0.031876606683804626,0.014587413794745378,0.6454991087344027,0.09756923666620368,0.002025844513952444,0.043597977245138295,,
d1_E4_g1,D1,0.8556404334695328,0.03819392315697971,0.08126,0.9566579634464754,0.002564681083655815,0.9804627249357325,0.0009684422161548662,0.7399732620320856,0.07371085754908728,0.35433855601164066,0.9131544392977469,,
d1_E4_g2,D1,0.8936134304494582,0.023831803221908917,0.05988500000000001,0.5107049608355092,0.040017749682876726,0.9151670951156812,0.00780011170237489,0.6675579322638145,0.09884166089295031,0.22241285205158437,0.8843846955999295,,
d1_E4_g3,D1,0.8944395096820039,0.021353466123720334,0.059419999999999994,0.1028720626631854,0.014684720229633798,0.4730077120822622,0.027359026003235403,0.6671122994652406,0.09812520374523624,0.17742340070665188,0.8694263218496211,,
d1_E8_g1,D1,0.9059690886480725,0.024755037156250548,0.05293000000000001,0.854308093994778,0.01171577074004129,0.9706940874035989,0.002124026088801456,0.6659982174688057,0.09367088398905381,0.20867638126296612,0.8654212480342851,,
d1_E8_g2,D1,0.9285041748090247,0.016312337843900074,0.040244999999999996,0.10130548302872065,0.007745583090765739,0.5804627249357326,0.0439002591215372,0.6604278074866312,0.09665366251592374,0.09964409123482257,0.8331025396632258,0.8633030898134091,0.014885935790563236
d1_E8_g3,D1,0.9364896073903002,0.013596975102681876,0.035750000000000004,0.021932114882506532,0.015639503279934634,0.05347043701799488,0.01577257353353409,0.6532976827094474,0.09897170954041051,0.07017796807504526,0.8213171500826381,,
d1fixed_E16_g2,D1fixed,0.9755373956297744,0.005976467634404467,0.013770000000000001,0.12950391644908618,0.01183033855563528,0.6462724935732648,0.030623667288894374,0.6463903743315508,0.09877933211675381,0.10996651459815665,0.23320970289543727,,
d1fixed_E32_g2,D1fixed,0.9957097175341979,0.0014374108580398198,0.002415,0.023498694516971307,0.013338935699790163,0.13778920308483286,0.023863000411058037,0.644830659536542,0.10120159188172217,0.03631642356302221,0.05842242572385932,,
d1fixed_E4_g2,D1fixed,0.9055516077456032,0.020561249352931153,0.053165,0.9394255874673629,0.0021749429971624316,0.9773778920308482,0.0017438635329417192,0.661096256684492,0.09567280748034289,0.4321476777256829,0.8598951128583472,,
d1fixed_E8_g2,D1fixed,0.9419790371291525,0.012039049620221311,0.03266,0.5582245430809399,0.031014228980070276,0.9305912596401028,0.005172175087569215,0.6541889483065955,0.09853127646141634,0.23620983981677343,0.812028023926147,,
d1q_q0.5_g1,D1q,0.3805027535974418,0.21595875957269792,0.348715,0.9926892950391646,0.0009167958692106889,0.997943444730077,0.00042239493262098487,0.7709447415329768,0.06854155592826659,0.7063540028701156,0.9632436303622285,,
d1q_q0.5_g2,D1q,0.8480813643631195,0.032314649309819136,0.085515,0.9780678851174937,0.0037007356612076305,0.9881748071979433,0.001927721983081123,0.6671122994652406,0.09588103529510843,0.6139734346228538,0.9575025544736263,,
d1q_q0.75_g1,D1q,0.9052584828566352,0.023232260303211367,0.05333,0.9853785900783291,0.0022813659881784306,0.9938303341902311,0.0011241191910001057,0.6771390374331552,0.09242476630026816,0.6196048231502667,0.867813778954784,,
d1q_q0.75_g2,D1q,0.9290193640078167,0.016582413839184608,0.039955,0.9571801566579635,0.0029642925017280206,0.9825192802056557,0.0013470004841694139,0.6579768270944742,0.09696132685016934,0.5053734683326574,0.8353550405588651,,
d1q_q0.95_g1,D1q,0.96623734233434,0.009008158178691899,0.019005,0.9697127937336815,0.006674943693215956,0.9876606683804624,0.0022983824012810503,0.6595365418894832,0.096178221099161,0.4909662590895308,0.3729179902169282,,
d1q_q0.95_g2,D1q,0.9841979037129153,0.003913512909933528,0.008895,0.8543080939947781,0.010176264806482805,0.9696658097686375,0.0018555621563213975,0.641934046345811,0.1006462580539649,0.3582806598636553,0.1597145473136768,,
