model,threshold_mode,jitter,poison_ratio,fidelity_median,n_seeds,delta_fpr,delta_fpr_sd,delta_tpr,delta_tpr_sd,sigma_control_fpr,sigma_control_tpr,exceeds_noise
rf,fixed,0.0,0.005,0.01060213354774478,5,0.01096,0.005987476513523871,0.0028045716138445087,0.003181215523100998,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.0,0.01,0.010494820840572301,5,0.031784999999999994,0.026684596446264645,0.008770365566993598,0.007796105971161953,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.0,0.02,0.010353908058669519,5,0.05539999999999999,0.022950544655846408,0.019988652022371767,0.014278297428363835,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.0,0.05,0.01043168219051888,5,0.46782500000000005,0.049014937136550536,0.05774499473129609,0.020111411988476196,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.0,0.1,0.01052298411922124,5,0.7870799999999999,0.025432296150760786,0.08327794439490972,0.005676477875523318,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.0,0.2,0.011071405657643599,5,0.9213850000000001,0.009509281650051197,0.11583042879144043,0.0034981511918683317,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.0,0.5,0.01079352064720268,5,0.953915,0.010956499212796015,0.12343357380238304,0.002857416738320189,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.01,0.005,0.014301275655447398,5,0.020955,0.01402081488359361,0.014719948123530857,0.006756866545371201,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.01,0.01,0.01428035207804056,5,0.0065699999999999995,0.012698713025342371,0.009175650482289032,0.004799299021306221,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.01,0.02,0.013824327365341098,5,0.017895,0.01753833658018913,0.012223393045310837,0.00435163531141043,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.01,0.05,0.013948018330317979,5,0.033960000000000004,0.015618794767843003,0.01846478074086084,0.008463645533217448,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.01,0.1,0.013918432479111897,5,0.02833,0.01672126639940887,0.02263110967009807,0.012950410030625734,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.01,0.2,0.01438114403506926,5,0.042499999999999996,0.005496163434615097,0.04963929642538698,0.008539421449836007,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.01,0.5,0.014164875736471998,5,0.05566,0.009701475403256972,0.04159844370592523,0.0071938700368409094,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.02,0.02,0.02204922069456334,5,0.027025,0.01505175446584218,0.014622679743859935,0.003750845656716188,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.02,0.05,0.02216913023794056,5,0.03327,0.013557221322970284,0.022436572910756247,0.011668602471810556,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.02,0.1,0.02205628086915842,5,0.026674999999999997,0.010462776280701032,0.019340196157898993,0.010641118009348338,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.02,0.2,0.02234033452151992,5,0.04522,0.01251214909597868,0.038631758125962534,0.01179213356794511,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.03,0.005,0.03145792863549116,5,0.02332,0.016866974017291897,0.010634676177352675,0.005425492108439108,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.03,0.01,0.03098623543654786,5,0.0127,0.01888345009525537,0.011526302991002657,0.007892011911717584,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.03,0.02,0.030852270334861383,5,0.025129999999999996,0.009295738270842187,0.01932398476128718,0.016947074873472277,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.03,0.05,0.030930574590417405,5,0.029370000000000007,0.004982011390994609,0.03331442003728624,0.018735826746900948,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.03,0.1,0.030937541539799142,5,0.031490000000000004,0.016349145619878734,0.027575585636702593,0.005676130630156796,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.03,0.2,0.03114576622709776,5,0.035945000000000005,0.0179274963394223,0.046510496879306217,0.010772256528476631,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.03,0.5,0.03109014898322236,5,0.04929,0.013150767563150067,0.05006079273729429,0.014935681199866307,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.05,0.02,0.048231209145673706,5,0.02102,0.016960665891998468,0.01838372375780173,0.010168920776893102,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.05,0.05,0.0483015871788877,5,0.032929999999999994,0.004194207314857007,0.029569587419956234,0.022915656365693274,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.05,0.1,0.04831208956310174,5,0.029185000000000006,0.012814940011564628,0.02619761692469802,0.012093446529358507,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.05,0.2,0.04852012134094384,5,0.042855,0.01416941468445327,0.0502877522898598,0.012440147689861795,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.07,0.02,0.06536318929610627,5,0.016404999999999996,0.017658287714271734,0.015335981194779903,0.008819282855718598,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.07,0.05,0.06531899891207274,5,0.031345,0.016701313571093744,0.03637837399691983,0.014266650748756169,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.07,0.1,0.06526996504470058,5,0.027415000000000002,0.009233678167447683,0.031839182945610764,0.01822731678072046,0.01482329764462768,0.004497682586038158,False
rf,fixed,0.07,0.2,0.06549662205094063,5,0.039999999999999994,0.01737180726061627,0.03315230607116808,0.004550033946886939,0.01482329764462768,0.004497682586038158,True
rf,fixed,0.1,0.005,0.09100813636040209,5,0.021015,0.01291126688206855,0.009159439085677224,0.0045485897208715695,0.01482329764462768,0.004497682586038158,False
