calibration,model,threshold_mode,metric_delta,poison_ratio,contrast,n_seeds,mean,sd,t_paired,sigma_control,two_sigma
old,xgboost,recalibrated,tpr,0.05,"s0j (attack->malicious, jittered)",5,0.0535300316122234,0.02872790302240008,4.166568977530756,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.05,s0 (attack->malicious),5,0.0527032503850207,0.021056991109247455,5.596623462710384,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,-0.03016940909459349,0.030410814972423726,-2.2183177148552042,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.06400259382345788,0.06597076421572261,2.1693571724829597,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,"a1 (benign->malicious, jittered)",5,0.01679500688984359,0.025626534069333257,1.4654645449385453,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,"a1truth (same rows, true label)",5,-0.09702520872173137,0.06634619283131918,-3.2700438860823637,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,"s0j (attack->malicious, jittered)",5,0.048617978438842545,0.03426431215650546,3.1727794277997976,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,s0 (attack->malicious),5,0.08428305098484237,0.024229693514280098,7.778168190287473,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,a1 - s0j  (label conflict beyond prior shift),5,-0.031822971548998956,0.01356095681292589,-5.24729402292451,0.020048535258507097,0.040097070517014194
old,xgboost,recalibrated,tpr,0.2,"a1 - a1truth  (effect of the label flip, same rows)",5,0.11382021561157496,0.0761593529351665,3.341805431800679,0.020048535258507097,0.040097070517014194
new,rf,fixed,fpr,0.05,"a1 (benign->malicious, jittered)",5,0.00427,0.005028462737258774,1.8987930830584465,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.05,"a1truth (same rows, true label)",5,-0.005484999999999999,0.003872765484766667,-3.1669443721365167,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.05,"s0j (attack->malicious, jittered)",5,0.0011550000000000002,0.004442212286687794,0.5813901604279118,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.05,s0 (attack->malicious),5,0.0016700000000000003,0.0038370887401778966,0.9731944646793655,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.05,a1 - s0j  (label conflict beyond prior shift),5,0.003115,0.006459334331028237,1.0783389422115666,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.05,"a1 - a1truth  (effect of the label flip, same rows)",5,0.009755,0.00753050878095232,2.8965962002041463,0.004455567172261082,0.008911134344522164
new,rf,fixed,fpr,0.2,"a1 (benign->malicious, jittered)",5,0.01106,0.001225841547672454,20.17463992642857,0.004455567172261082,0.008911134344522164
