scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.23029682702149434,0.0,6,recalibrated,0.4262222222222221,30000,0,0.0,,,0.0,0.0,1.6517260999999053,0.009975,0.80927291886196,0.9615718000577868,0.8788732394366198,0.9524569597552079,39601,399,2353,9984,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7961724694489278,4337,0.995,4000,0.63775,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22681678607983624,0.0,7,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6467038999999204,0.011175,0.8750911891059415,0.960241928310949,0.9156912637828669,0.9726625537002512,39553,447,1541,10796,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8690338943970487,4337,0.99675,4000,0.76,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22681678607983624,0.0,7,recalibrated,0.12133333333333333,30000,0,0.0,,,0.0,0.0,1.6467038999999204,0.01,0.8720110237496961,0.9641512815916831,0.9157693126197063,0.9726625537002512,39600,400,1579,10758,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8630389670278995,4337,0.9965,4000,0.75725,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2309109518935517,0.0,8,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6217306999997163,0.05055,0.872821593580287,0.8419077404222048,0.8570860031042306,0.9503808330631434,37978,2022,1569,10768,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8621166705095689,4337,0.99675,4000,0.7605,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2309109518935517,0.0,8,recalibrated,0.40266666666666673,30000,0,0.0,,,0.0,0.0,1.6217306999997163,0.009125,0.7589365323822648,0.9624794407894737,0.8486743711760707,0.9503808330631434,39635,365,2974,9363,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8017062485589117,4337,0.99525,4000,0.47625,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,9,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.7382554000005257,0.05485,0.879144038258896,0.8317484662576687,0.8547897702644126,0.966474177271622,37806,2194,1491,10846,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8577357620474982,4337,0.9965,4000,0.785,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,9,recalibrated,0.36666666666666664,30000,0,0.0,,,0.0,0.0,1.7382554000005257,0.009975,0.8391018886277053,0.962887173286206,0.8967428967428969,0.966474177271622,39601,399,1985,10352,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7959418953193451,4337,0.995,4000,0.73,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.227021494370522,0.0,10,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.736615900000288,0.033075,0.8761449298857097,0.8909495548961425,0.8834852262045855,0.9668727141930777,38677,1323,1528,10809,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8718007839520405,4337,0.99675,4000,0.76025,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.227021494370522,0.0,10,recalibrated,0.2,30000,0,0.0,,,0.0,0.0,1.736615900000288,0.009975,0.8699035421901596,0.964154164046357,0.9146071245951934,0.9668727141930777,39601,399,1605,10732,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8607332257320729,4337,0.99575,4000,0.754,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22599795291709313,0.0,11,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.9715538999998898,0.041875,0.8751722460890006,0.8656991661321359,0.8704099318795597,0.9683611655994164,38325,1675,1540,10797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8706479133041273,4337,0.9965,4000,0.75875,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22599795291709313,0.0,11,recalibrated,0.3167322404371585,30000,0,0.0,,,0.0,0.0,1.9715538999998898,0.009,0.8339952986949826,0.9661940088271199,0.8952405812233533,0.9683611655994164,39640,360,2048,10289,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8187687341480286,4337,0.99475,4000,0.68975,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22272262026612077,0.0,12,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.7283976999997321,0.031,0.8724973656480506,0.8967010996334556,0.8844336715829261,0.9631238348058685,38760,1240,1573,10764,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8614249481208208,4337,0.99625,4000,0.76075,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22272262026612077,0.0,12,recalibrated,0.25866666666666666,30000,0,0.0,,,0.0,0.0,1.7283976999997321,0.009925,0.8532868606630462,0.9636580007323324,0.9051201582047205,0.9631238348058685,39603,397,1810,10527,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8210744754438551,4337,0.99575,4000,0.74575,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22497441146366426,0.0,13,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.8081019000001106,0.035225,0.8727405365972278,0.8842805519053877,0.8784726471668095,0.9663499503525979,38591,1409,1570,10767,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8655752824533087,4337,0.9965,4000,0.75675,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22497441146366426,0.0,13,recalibrated,0.23733333333333334,30000,0,0.0,,,0.0,0.0,1.8081019000001106,0.009975,0.8575018237821188,0.9636545818910548,0.9074844520694832,0.9663499503525979,39601,399,1758,10579,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8432095918837906,4337,0.99575,4000,0.73475,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.23029682702149434,0.0,14,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6591752000003908,0.0545,0.8746048472075869,0.8319198149575945,0.8527284940925437,0.9559469299667667,37820,2180,1547,10790,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8646529859349781,4337,0.99675,4000,0.76325,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.23029682702149434,0.0,14,recalibrated,0.424,30000,0,0.0,,,0.0,0.0,1.6591752000003908,0.009925,0.8275917970333144,0.9625718864900538,0.8899930264993026,0.9559469299667667,39603,397,2127,10210,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7961724694489278,4337,0.99425,4000,0.695,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,15,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.7277137999999468,0.05335,0.8778471265299506,0.8353903116322123,0.8560926445595036,0.9772986605333549,37866,2134,1507,10830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8618860963799861,4337,0.99675,4000,0.77625,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22026612077789154,0.0,15,recalibrated,0.22,30000,0,0.0,,,0.0,0.0,1.7277137999999468,0.0099,0.8561238550701142,0.9638620186165359,0.9068040352006869,0.9772986605333549,39604,396,1775,10562,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8312197371454922,4337,0.9965,4000,0.74275,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2221084953940634,0.0,16,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.907511099999283,0.051225,0.8690119153765097,0.8395458104933438,0.8540247739674195,0.9608338919510416,37951,2049,1616,10721,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8522019829375144,4337,0.99675,4000,0.7595,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2221084953940634,0.0,16,recalibrated,0.4397142857142857,30000,0,0.0,,,0.0,0.0,1.907511099999283,0.008725,0.8214314663208235,0.9667080034341314,0.888168273444347,0.9608338919510416,39651,349,2203,10134,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7897163938206133,4337,0.995,4000,0.68225,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22006141248720568,0.0,17,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.98354449999988,0.029925,0.8741185053092324,0.9000918120357232,0.8869150423554567,0.9726053619194294,38803,1197,1553,10784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8584274844362463,4337,0.997,4000,0.76825,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22006141248720568,0.0,17,recalibrated,0.1826666666666667,30000,0,0.0,,,0.0,0.0,1.98354449999988,0.0087,0.8626084137148415,0.9683348498635123,0.9124190851802633,0.9726053619194294,39652,348,1695,10642,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8385981092921374,4337,0.99625,4000,0.755,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22538382804503587,0.0,18,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,2.010662499999853,0.055125,0.8707951690038097,0.8297034291010195,0.8497528178762112,0.9544467050336386,37795,2205,1594,10743,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8593497809545769,4337,0.99675,4000,0.75725,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22538382804503587,0.0,18,recalibrated,0.43066666666666664,30000,0,0.0,,,0.0,0.0,2.010662499999853,0.008325,0.7617735267893329,0.9657794676806084,0.8517310132318289,0.9544467050336386,39667,333,2939,9398,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8026285450772424,4337,0.995,4000,0.48425,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22579324462640737,0.0,19,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,2.108309199999894,0.056325,0.8742806192753506,0.8272106756653118,0.850094577553594,0.9516512786739078,37747,2253,1551,10786,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8697256167857966,4337,0.99675,4000,0.75675,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22579324462640737,0.0,19,recalibrated,0.507,30000,0,0.0,,,0.0,0.0,2.108309199999894,0.009925,0.7621788117046283,0.9594897959183674,0.8495279396485522,0.9516512786739078,39603,397,2934,9403,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7853354853585428,4337,0.994,4000,0.50525,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22722620266120774,0.0,20,fixed,0.11235294117647059,30000,0,0.0,,,0.0,0.0,1.6555357000006552,0.05485,0.8760638729026505,0.8312567297338871,0.8530723390820474,0.9690345221690849,37806,2194,1529,10808,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.869495042656214,4337,0.9965,4000,0.76275,4000,,1.0,cicids
control,rf,4,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22722620266120774,0.0,20,recalibrated,0.40261904761904754,30000,0,0.0,,,0.0,0.0,1.6555357000006552,0.0095,0.8171354462186917,0.9636746008985757,0.884375822440565,0.9690345221690849,39620,380,2256,10081,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.798708784874337,4337,0.9955,4000,0.65875,4000,,1.0,cicids
