scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.1,0,fixed,0.5018159747123718,30000,0,0.0,,,0.0,0.0,1.1593599999905564,0.00455,0.79679014347086,0.9818218138234119,0.8796814175130878,0.9846855809759261,39818,182,2507,9830,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7855660594881254,4337,0.99525,4000,0.6105,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9394063459570112,0.1,0,recalibrated,0.31572332978248596,30000,0,0.0,,,0.0,0.0,1.1593599999905564,0.009125,0.8350490394747507,0.9657823193025218,0.8956703182055294,0.9846855809759261,39635,365,2035,10302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8081623241872262,4337,0.996,4000,0.70325,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9398157625383828,0.1,1,fixed,0.5018159747123718,30167,167,0.005535850432591905,1.0,0.0,0.005535850432591905,2.9999995604157448e-05,1.1721823000116274,0.003825,0.7089243738348059,0.9828070569726935,0.8236956112262197,0.9810556152225014,39847,153,3591,8746,167,3033.654388015075,1582831.7755199694,2981.9598237997047,167,3033.654388015075,1582831.7755199694,2981.9598237997047,True,False,0.7897163938206133,4337,0.99425,4000,0.336,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9398157625383828,0.1,1,recalibrated,0.2670827805995941,30167,167,0.005535850432591905,1.0,0.0,0.005535850432591905,2.9999995604157448e-05,1.1721823000116274,0.008825,0.7901434708600146,0.965052965052965,0.8688831446652999,0.9810556152225014,39647,353,2589,9748,167,3033.654388015075,1582831.7755199694,2981.9598237997047,167,3033.654388015075,1582831.7755199694,2981.9598237997047,True,False,0.8263776804242564,4337,0.9955,4000,0.5455,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.1,2,fixed,0.5018159747123718,30333,333,0.010978142616951835,1.0,0.0,0.010978142616951835,3.1100003980100155e-05,1.1580400000093505,0.005025,0.7623409256707465,0.9790755777638975,0.8572209816342342,0.9834553203777255,39799,201,2932,9405,333,12822.337991620174,11821202.598190712,5976.440872490053,166,9788.683603605099,10238370.822670743,2994.4810486903484,True,False,0.8005533779109983,4337,0.99525,4000,0.488,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9367451381780962,0.1,2,recalibrated,0.18916630744934082,30333,333,0.010978142616951835,1.0,0.0,0.010978142616951835,3.1100003980100155e-05,1.1580400000093505,0.009975,0.8301045635081462,0.9625,0.8914131522827176,0.9834553203777255,39601,399,2096,10241,333,12822.337991620174,11821202.598190712,5976.440872490053,166,9788.683603605099,10238370.822670743,2994.4810486903484,True,False,0.8367535162554761,4337,0.99625,4000,0.65675,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9314227226202662,0.1,3,fixed,0.5018159747123718,30500,500,0.01639344262295082,1.0,0.0,0.01639344262295082,3.7600024370476604e-05,1.1791834999748971,0.005,0.7317824430574694,0.9783268313827481,0.8372826338975191,0.9833482329577693,39800,200,3309,9028,500,15199.141851050366,12989834.959288392,8096.276913561657,167,2376.803859430193,1168632.3610976797,2119.836041071604,True,False,0.792713857505188,4337,0.9945,4000,0.403,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9314227226202662,0.1,3,recalibrated,0.3451072573661804,30500,500,0.01639344262295082,1.0,0.0,0.01639344262295082,3.7600024370476604e-05,1.1791834999748971,0.005425,0.759179703331442,0.9773557341124909,0.8545620437956204,0.9833482329577693,39783,217,2971,9366,500,15199.141851050366,12989834.959288392,8096.276913561657,167,2376.803859430193,1168632.3610976797,2119.836041071604,True,False,0.814387825685958,4337,0.99475,4000,0.46375,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9371545547594677,0.1,4,fixed,0.5018159747123718,30667,667,0.0217497635895262,1.0,0.0,0.0217497635895262,2.5699962861835957e-05,1.2097018000204116,0.0048,0.7316203290913512,0.9791711868084183,0.837485502203665,0.9838465773688904,39808,192,3311,9026,667,17527.43129962417,13796747.925581867,11085.234359705806,167,2328.2894485738034,806912.9662934749,2988.95744614415,True,False,0.7703481669356698,4337,0.9945,4000,0.42675,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
a1,xgboost,3,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9371545547594677,0.1,4,recalibrated,0.26427343487739563,30667,667,0.0217497635895262,1.0,0.0,0.0217497635895262,2.5699962861835957e-05,1.2097018000204116,0.008625,0.8022209613358191,0.966315172817809,0.8766552991717967,0.9838465773688904,39655,345,2440,9897,667,17527.43129962417,13796747.925581867,11085.234359705806,167,2328.2894485738034,806912.9662934749,2988.95744614415,True,False,0.8208439013142725,4337,0.996,4000,0.58825,4000,0.01,1.0,cicids,,,,,,,,0.013864366187760028,0.008034496554756132,0.08199368979327483,2000
