scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.5,0,fixed,0.26829659938812256,30000,0,0.0,,,0.0,0.0,1.106426799990004,0.015725,0.837967090864878,0.942646120178718,0.8872296601441813,0.9802114259949745,39371,629,1999,10338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8183075858888633,4337,0.996,4000,0.70125,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.5,0,recalibrated,0.45792824029922485,30000,0,0.0,,,0.0,0.0,1.106426799990004,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9314227226202662,0.5,1,fixed,0.26829659938812256,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,3.559998003765941e-05,1.238335600006394,0.005175,0.8027073032341736,0.9795252225519288,0.8823450795206487,0.988103919105131,39793,207,2434,9903,1500,25938.785288321047,13101436.792880878,25677.173083537597,1500,25938.785288321047,13101436.792880878,25677.173083537597,True,False,0.8074706017984782,4337,0.9955,4000,0.60475,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9314227226202662,0.5,1,recalibrated,0.11284783482551575,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,3.559998003765941e-05,1.238335600006394,0.008325,0.8485044986625597,0.9691695213406166,0.9048318782954448,0.988103919105131,39667,333,1869,10468,1500,25938.785288321047,13101436.792880878,25677.173083537597,1500,25938.785288321047,13101436.792880878,25677.173083537597,True,False,0.8330643301821535,4337,0.9965,4000,0.71725,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9295803480040942,0.5,2,fixed,0.26829659938812256,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,2.720000338740647e-05,1.304048199992394,0.005225,0.8151900786252736,0.979641535164621,0.8898818740875105,0.9897259858555565,39791,209,2280,10057,3000,55401.789977679255,28150457.567055926,53603.40368098291,1500,29463.004689358208,15049020.774175048,27926.23059744532,True,False,0.7738067788794097,4337,0.99425,4000,0.681,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9295803480040942,0.5,2,recalibrated,0.1168312132358551,33000,3000,0.09090909090909091,1.0,0.0,0.09090909090909091,2.720000338740647e-05,1.304048199992394,0.009575,0.8677150036475643,0.965458152958153,0.9139807897545358,0.9897259858555565,39617,383,1632,10705,3000,55401.789977679255,28150457.567055926,53603.40368098291,1500,29463.004689358208,15049020.774175048,27926.23059744532,True,False,0.8607332257320729,4337,0.9955,4000,0.7475,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9299897645854657,0.5,3,fixed,0.26829659938812256,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,3.130000550299883e-05,1.3426189000019804,0.004075,0.8333468428305099,0.9843929528916124,0.9025942671524516,0.9914128434789657,39837,163,2056,10281,4500,90094.27720179118,50327336.33308764,79441.688277793,1500,34692.487224111916,22176878.766031712,25838.28459681009,True,False,0.7744985012681577,4337,0.99525,4000,0.73525,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9299897645854657,0.5,3,recalibrated,0.1602010279893875,34500,4500,0.13043478260869565,1.0,0.0,0.13043478260869565,3.130000550299883e-05,1.3426189000019804,0.009075,0.8783334684283051,0.9675863916421109,0.9208021753908905,0.9914128434789657,39637,363,1501,10836,4500,90094.27720179118,50327336.33308764,79441.688277793,1500,34692.487224111916,22176878.766031712,25838.28459681009,True,False,0.8095457689647222,4337,0.9955,4000,0.83575,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9265097236438076,0.5,4,fixed,0.26829659938812256,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,3.8200028939172626e-05,1.3695471999817528,0.003625,0.8704709410715733,0.9866776920249908,0.9249386331338012,0.9915562413876956,39855,145,1598,10739,6000,122481.0464327115,69195061.3979242,106697.98949727297,1500,32386.76923092032,18867725.064836558,27256.301219479967,True,False,0.8090846207055569,4337,0.9945,4000,0.813,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
a1,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9265097236438076,0.5,4,recalibrated,0.15113341808319092,36000,6000,0.16666666666666666,1.0,0.0,0.16666666666666666,3.8200028939172626e-05,1.3695471999817528,0.00995,0.9041095890410958,0.9655470914127424,0.9338189124701746,0.9915562413876956,39602,398,1183,11154,6000,122481.0464327115,69195061.3979242,106697.98949727297,1500,32386.76923092032,18867725.064836558,27256.301219479967,True,False,0.857966336177081,4337,0.99575,4000,0.8625,4000,0.01,1.0,cicids,,,,,,,,0.013608985743483676,0.008048951466521856,0.09013891013494511,2000
