scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,5,recalibrated,0.30607402324676514,30000,0,0.0,,,0.0,0.0,0.972054400000161,0.008925,0.7981681121828645,0.9650137201097608,0.8736968191295861,0.9822303376023345,39643,357,2490,9847,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8109292137422182,4337,0.996,4000,0.5865,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10276356192425795,0.0,6,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,0.9759648999997808,0.052325,0.8741185053092324,0.837462141803215,0.8553977948758626,0.98044082536273,37907,2093,1553,10784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8646529859349781,4337,0.99675,4000,0.76175,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10276356192425795,0.0,6,recalibrated,0.3780088722705841,30000,0,0.0,,,0.0,0.0,0.9759648999997808,0.008725,0.8274296830671962,0.966941365918348,0.8917620337206255,0.98044082536273,39651,349,2129,10208,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7980170624855891,4337,0.9945,4000,0.69225,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,7,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0037814999996044,0.0268,0.8789819242927778,0.9100369251426653,0.8942398878489258,0.9857664859771419,38928,1072,1493,10844,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8713396356928753,4337,0.997,4000,0.76925,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,7,recalibrated,0.22462423145771027,30000,0,0.0,,,0.0,0.0,1.0037814999996044,0.009975,0.8046526708275918,0.9613596746077862,0.8760534792392888,0.9857664859771419,39601,399,2410,9927,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.827991699331335,4337,0.996,4000,0.588,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10235414534288634,0.0,8,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.048282400000062,0.050675,0.8947880359893005,0.8448645339047911,0.8691099476439791,0.9812474112426035,37973,2027,1298,11039,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8775651371916071,4337,0.99675,4000,0.8115,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10235414534288634,0.0,8,recalibrated,0.330761194229126,30000,0,0.0,,,0.0,0.0,1.048282400000062,0.00985,0.8315635892032098,0.9630151131136769,0.8924749891257068,0.9812474112426035,39606,394,2078,10259,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.803550841595573,4337,0.99575,4000,0.69775,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09498464687819852,0.0,9,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0942917000002126,0.055175,0.8892761611412823,0.8325239034754894,0.8599647266313932,0.9841963200129691,37793,2207,1366,10971,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8860963799861655,4337,0.99675,4000,0.78525,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09498464687819852,0.0,9,recalibrated,0.22364172339439392,30000,0,0.0,,,0.0,0.0,1.0942917000002126,0.01,0.8369133500851098,0.9627039627039627,0.895412366663776,0.9841963200129691,39600,400,2012,10325,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8146183998155407,4337,0.99575,4000,0.70225,4000,,1.0,cicids
control,xgboost,4,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10092118730808597,0.0,10,fixed,0.040842827409505844,30000,0,0.0,,,0.0,0.0,1.0422797999999602,0.0525,0.8801167220556051,0.8379379533878685,0.8585095868748766,0.9808888374402205,37900,2100,1479,10858,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8789485819691031,4337,0.99675,4000,0.76475,4000,,1.0,cicids
