scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.1029682702149437,0.0,0,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0514886000000843,0.025275,0.8653643511388506,0.9134936253957389,0.8887778887778888,0.9845039829375051,38989,1011,1661,10676,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8713396356928753,4337,0.99675,4000,0.7275,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.1029682702149437,0.0,0,recalibrated,0.1613209992647171,30000,0,0.0,,,0.0,0.0,1.0514886000000843,0.00945,0.8465591310691416,0.9650711513583441,0.9019387711041064,0.9845039829375051,39622,378,1893,10444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.99625,4000,0.70925,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10358239508700107,0.0,1,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.9507032999999865,0.055025,0.8635810975115507,0.8287825748735901,0.8458240711336933,0.9796405224122559,37799,2201,1683,10654,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8644224118053955,4337,0.99675,4000,0.7295,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10358239508700107,0.0,1,recalibrated,0.3837750256061554,30000,0,0.0,,,0.0,0.0,0.9507032999999865,0.0099,0.7930615222501418,0.9611001964636542,0.869032286716703,0.9796405224122559,39604,396,2553,9784,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7959418953193451,4337,0.9955,4000,0.5875,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09907881269191399,0.0,2,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.9367193999996744,0.025775,0.8769554997163006,0.9129957805907173,0.8946128085335097,0.9838562059252655,38969,1031,1518,10819,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8750288217661978,4337,0.9965,4000,0.7595,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09907881269191399,0.0,2,recalibrated,0.20504413545131683,30000,0,0.0,,,0.0,0.0,0.9367193999996744,0.00995,0.8392640025938235,0.9629836309523809,0.8968773008792066,0.9838562059252655,39602,398,1983,10354,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8206133271846898,4337,0.996,4000,0.70275,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,3,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0534001000005446,0.052425,0.8664180919186187,0.835992491787893,0.8509334076344385,0.9831422661506038,37903,2097,1648,10689,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8727230804703712,4337,0.99675,4000,0.72925,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09785056294779937,0.0,3,recalibrated,0.3009609580039978,30000,0,0.0,,,0.0,0.0,1.0534001000005446,0.01,0.8073275512685418,0.9613899613899614,0.8776490285059698,0.9831422661506038,39600,400,2377,9960,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8065483052801475,4337,0.99625,4000,0.61925,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09314227226202665,0.0,4,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.9412087000000611,0.040425,0.8759828159195915,0.8698486799742434,0.8729049715278059,0.9815655365972279,38383,1617,1530,10807,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8713396356928753,4337,0.99675,4000,0.76025,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09314227226202665,0.0,4,recalibrated,0.3463081121444702,30000,0,0.0,,,0.0,0.0,0.9412087000000611,0.009875,0.798492340115101,0.9614483700956471,0.8724261612717531,0.9815655365972279,39605,395,2486,9851,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7980170624855891,4337,0.99575,4000,0.60175,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.0994882292732856,0.0,5,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.961452300000019,0.0465,0.8703088271054551,0.8523457966182424,0.8612336568540947,0.9825067530599011,38140,1860,1600,10737,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8736453769887018,4337,0.99675,4000,0.74025,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.0994882292732856,0.0,5,recalibrated,0.5671707987785339,30000,0,0.0,,,0.0,0.0,0.961452300000019,0.0072,0.7803355759098647,0.9709531013615734,0.865270537479777,0.9825067530599011,39712,288,2710,9627,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7862577818768735,4337,0.995,4000,0.55925,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10747185261003067,0.0,6,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.9694546999999147,0.03735,0.8667423198508551,0.8774103552966276,0.8720437122818464,0.984402777214882,38506,1494,1644,10693,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8731842287295365,4337,0.99675,4000,0.72975,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10747185261003067,0.0,6,recalibrated,0.39075231552124023,30000,0,0.0,,,0.0,0.0,0.9694546999999147,0.008175,0.8075707222177191,0.9682215743440233,0.8806293366332258,0.984402777214882,39673,327,2374,9963,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8086234724463915,4337,0.9955,4000,0.6185,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10378710337768682,0.0,7,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.036730400000124,0.043275,0.8736321634108778,0.8616196338636182,0.8675843194075504,0.9834915102942369,38269,1731,1559,10778,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8676504496195527,4337,0.99675,4000,0.757,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10378710337768682,0.0,7,recalibrated,0.19011329114437103,30000,0,0.0,,,0.0,0.0,1.036730400000124,0.009525,0.8402366863905325,0.9645482460221457,0.8981112458845953,0.9834915102942369,39619,381,1971,10366,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8215356237030205,4337,0.99625,4000,0.7045,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10194472876151484,0.0,8,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0165327000004254,0.058625,0.8775228985977142,0.8219573304988231,0.848831739062255,0.9813533699440706,37655,2345,1511,10826,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8722619322112058,4337,0.99675,4000,0.764,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10194472876151484,0.0,8,recalibrated,0.2680330276489258,30000,0,0.0,,,0.0,0.0,1.0165327000004254,0.007525,0.8368322931020508,0.9716705882352941,0.8992248062015504,0.9813533699440706,39699,301,2013,10324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8113903620013835,4337,0.99575,4000,0.7055,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10501535312180144,0.0,9,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0017257999998037,0.0424,0.8663370349355597,0.8630490956072352,0.8646899397273573,0.9830732045878252,38304,1696,1649,10688,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8692644685266313,4337,0.99675,4000,0.73275,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.10501535312180144,0.0,9,recalibrated,0.2608387768268585,30000,0,0.0,,,0.0,0.0,1.0017257999998037,0.008975,0.8100834886925509,0.9653240606587462,0.8809167033935654,0.9830732045878252,39641,359,2343,9994,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8120820843901314,4337,0.99575,4000,0.62225,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09764585465711362,0.0,10,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,0.9785530999997718,0.039875,0.875577531004296,0.8713398402839396,0.8734535457265303,0.9804757568695793,38405,1595,1535,10802,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8692644685266313,4337,0.99675,4000,0.76125,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09764585465711362,0.0,10,recalibrated,0.3248675465583801,30000,0,0.0,,,0.0,0.0,0.9785530999997718,0.009475,0.8121909702520872,0.963554187902683,0.8814215341308937,0.9804757568695793,39621,379,2317,10020,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8120820843901314,4337,0.9955,4000,0.629,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09191402251791203,0.0,11,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0734794999998485,0.032775,0.8720920807327551,0.8913835956917978,0.8816323185971238,0.9850734447191376,38689,1311,1578,10759,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8628083928983168,4337,0.99675,4000,0.7575,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09191402251791203,0.0,11,recalibrated,0.22538676857948303,30000,0,0.0,,,0.0,0.0,1.0734794999998485,0.009975,0.8349679824916917,0.9627102803738318,0.8943004731518861,0.9850734447191376,39601,399,2036,10301,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8077011759280609,4337,0.99575,4000,0.70375,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09928352098259985,0.0,12,fixed,0.05560823529958725,30000,0,0.0,,,0.0,0.0,1.0096733999998833,0.03695,0.8757396449704142,0.8796612929490311,0.8776960883870181,0.9843428578665802,38522,1478,1533,10804,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8731842287295365,4337,0.99675,4000,0.7575,4000,,1.0,cicids
control,xgboost,5,accumulate,fixed_ratio,auto_malicious,none,0.005,0.09928352098259985,0.0,12,recalibrated,0.26871487498283386,30000,0,0.0,,,0.0,0.0,1.0096733999998833,0.0091,0.8355353813731053,0.9658920539730135,0.8959972184797254,0.9843428578665802,39636,364,2029,10308,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8086234724463915,4337,0.99575,4000,0.7045,4000,,1.0,cicids
