scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22947799385875123,0.0,0,fixed,0.11333333333333333,30000,0,0.0,,,0.0,0.0,6.096947699999873,0.059425,0.8714436248682824,0.8189366240097502,0.8443746318476341,0.9692105161303396,37623,2377,1586,10751,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8611943739912382,4337,0.99675,4000,0.75725,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22947799385875123,0.0,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,6.096947699999873,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2151484135107472,0.0,1,fixed,0.11333333333333333,30000,0,0.0,,,0.0,0.0,1.6305963999993764,0.0488,0.8812515198184323,0.8477854023705552,0.8641945868606176,0.957859909216179,38048,1952,1465,10872,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8581969103066636,4337,0.99675,4000,0.79075,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2151484135107472,0.0,1,recalibrated,0.2753333333333333,30000,0,0.0,,,0.0,0.0,1.6305963999993764,0.01,0.8306719623895599,0.9624342599549212,0.891711986077877,0.957859909216179,39600,400,2089,10248,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8263776804242564,4337,0.9955,4000,0.6705,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22804503582395086,0.0,2,fixed,0.11333333333333333,30000,0,0.0,,,0.0,0.0,1.6235984000004464,0.074025,0.878171354462187,0.785357013410656,0.8291749579060156,0.9641206452135852,37039,2961,1503,10834,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8699561909153793,4337,0.9965,4000,0.76875,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.22804503582395086,0.0,2,recalibrated,0.42028571428571426,30000,0,0.0,,,0.0,0.0,1.6235984000004464,0.01,0.8033557590986463,0.9612064785180875,0.8752207700459201,0.9641206452135852,39600,400,2426,9911,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.804934286373069,4337,0.99475,4000,0.61025,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2147389969293756,0.0,3,fixed,0.11333333333333333,30000,0,0.0,,,0.0,0.0,1.6482831000002989,0.0372,0.8731458215125233,0.8786296900489396,0.8758791722567794,0.9540841341087785,38512,1488,1565,10772,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8630389670278995,4337,0.997,4000,0.76025,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2147389969293756,0.0,3,recalibrated,0.4078095238095238,30000,0,0.0,,,0.0,0.0,1.6482831000002989,0.009675,0.8208640674394099,0.9631919345634392,0.8863507067524398,0.9540841341087785,39613,387,2210,10127,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8056260087618169,4337,0.9955,4000,0.66275,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2182190378710338,0.0,4,fixed,0.11333333333333333,30000,0,0.0,,,0.0,0.0,1.5369476000005307,0.042125,0.8677960606306233,0.8640142038576386,0.8659010029116792,0.954281042798087,38315,1685,1631,10706,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8496656675121051,4337,0.99675,4000,0.7585,4000,,1.0,cicids
control,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.01,0.2182190378710338,0.0,4,recalibrated,0.43199999999999994,30000,0,0.0,,,0.0,0.0,1.5369476000005307,0.0099,0.8412904271703007,0.9632482598607889,0.8981481481481481,0.954281042798087,39604,396,1958,10379,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8017062485589117,4337,0.9945,4000,0.731,4000,,1.0,cicids
