scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.1,0,fixed,0.42333333333333334,30000,0,0.0,,,0.0,0.0,1.5300906000193208,0.0079,0.8184323579476371,0.9696533179679248,0.8876483516483515,0.9692105161303396,39684,316,2240,10097,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.7945584505418493,4337,0.995,4000,0.66775,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9363357215967246,0.1,0,recalibrated,0.3502222222222222,30000,0,0.0,,,0.0,0.0,1.5300906000193208,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.1,1,fixed,0.42333333333333334,30167,167,0.005535850432591905,1.0,0.0,0.005535850432591905,1.4699966413900256e-05,1.9804036999994423,0.0046,0.8308340763556781,0.9823653440674718,0.9002678845900487,0.9474291298532869,39816,184,2087,10250,167,2235.8434293689634,641387.0351136995,2477.7469311030777,167,2235.8434293689634,641387.0351136995,2477.7469311030777,True,False,0.7989393590039198,4337,0.99525,4000,0.701,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9379733879222109,0.1,1,recalibrated,0.29,30167,167,0.005535850432591905,1.0,0.0,0.005535850432591905,1.4699966413900256e-05,1.9804036999994423,0.009175,0.8590419064602416,0.9665298677610579,0.9096214917174491,0.9474291298532869,39633,367,1739,10598,167,2235.8434293689634,641387.0351136995,2477.7469311030777,167,2235.8434293689634,641387.0351136995,2477.7469311030777,True,False,0.8427484436246253,4337,0.996,4000,0.73975,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.1,2,fixed,0.42333333333333334,30333,333,0.010978142616951835,1.0,0.0,0.010978142616951835,2.8699985705316067e-05,1.9939671000174712,0.00905,0.7549647402123693,0.9625878462174452,0.8462272293644664,0.9643009919348302,39638,362,3023,9314,333,5070.571579537529,1996423.5057678518,5437.253581294295,166,2834.7281501685657,1355036.4706541523,2959.506650191218,True,False,0.7659672584735993,4337,0.99525,4000,0.50275,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9404298874104401,0.1,2,recalibrated,0.39666666666666667,30333,333,0.010978142616951835,1.0,0.0,0.010978142616951835,2.8699985705316067e-05,1.9939671000174712,0.009975,0.7685012563832374,0.9596153846153846,0.8534905702840168,0.9643009919348302,39601,399,2856,9481,333,5070.571579537529,1996423.5057678518,5437.253581294295,166,2834.7281501685657,1355036.4706541523,2959.506650191218,True,False,0.7719621858427484,4337,0.9955,4000,0.53775,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.1,3,fixed,0.42333333333333334,30500,500,0.01639344262295082,1.0,0.0,0.01639344262295082,3.250001464039087e-05,1.9479899999860208,0.0095,0.8083002350652508,0.9632921174652241,0.8790162633875446,0.9721741782848342,39620,380,2365,9972,500,7712.13215112966,2877884.234896851,8499.12587362301,167,2641.560571592131,881460.7291289992,3061.8722923287155,True,False,0.7733456306202444,4337,0.99425,4000,0.66025,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9385875127942682,0.1,3,recalibrated,0.41733333333333333,30500,500,0.01639344262295082,1.0,0.0,0.01639344262295082,3.250001464039087e-05,1.9479899999860208,0.01,0.8087865769636055,0.961456928117171,0.8785384107418005,0.9721741782848342,39600,400,2359,9978,500,7712.13215112966,2877884.234896851,8499.12587362301,167,2641.560571592131,881460.7291289992,3061.8722923287155,True,False,0.7742679271385751,4337,0.99425,4000,0.66075,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9295803480040942,0.1,4,fixed,0.42333333333333334,30667,667,0.0217497635895262,1.0,0.0,0.0217497635895262,3.060000017285347e-05,1.8819263000041246,0.005,0.8007619356407555,0.9801567615834904,0.881423982869379,0.9733387016697739,39800,200,2458,9879,667,10577.055992315685,4326495.975204634,11820.57079575236,167,2864.923841186025,1448611.7403077828,3321.4449221293494,True,False,0.7606640534931981,4337,0.995,4000,0.65,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9295803480040942,0.1,4,recalibrated,0.33369786535303775,30667,667,0.0217497635895262,1.0,0.0,0.0217497635895262,3.060000017285347e-05,1.8819263000041246,0.0099,0.826294885304369,0.9626062322946176,0.8892572076590919,0.9733387016697739,39604,396,2143,10194,667,10577.055992315685,4326495.975204634,11820.57079575236,167,2864.923841186025,1448611.7403077828,3321.4449221293494,True,False,0.7982476366151717,4337,0.99575,4000,0.68725,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9383828045035824,0.1,5,fixed,0.42333333333333334,30833,833,0.02701650828657607,1.0,0.0,0.02701650828657607,2.770003629848361e-05,1.8920540999970399,0.007125,0.7972764853692146,0.9718407272008694,0.875946210704426,0.9591627502634352,39715,285,2501,9836,833,14221.632596118914,6699300.863577526,15186.881104010743,166,3644.576603803229,2372804.888372892,3366.310308258383,True,False,0.7825685958035509,4337,0.99525,4000,0.61525,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9383828045035824,0.1,5,recalibrated,0.39233333333333337,30833,833,0.02701650828657607,1.0,0.0,0.02701650828657607,2.770003629848361e-05,1.8920540999970399,0.009575,0.8148658506930372,0.9633001149865849,0.8828876300882623,0.9591627502634352,39617,383,2284,10053,833,14221.632596118914,6699300.863577526,15186.881104010743,166,3644.576603803229,2372804.888372892,3366.310308258383,True,False,0.790638690338944,4337,0.9955,4000,0.6605,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9340839303991811,0.1,6,fixed,0.42333333333333334,31000,1000,0.03225806451612903,1.0,0.0,0.03225806451612903,2.1000014385208488e-05,1.9572603999986313,0.01715,0.8170543892356327,0.9362808842652796,0.872613946240748,0.963899384980141,39314,686,2257,10080,1000,16727.428697331394,7767292.221331567,17733.234287325682,167,2505.7961012124792,1067991.35775404,2546.3531833149386,True,False,0.7708093151948351,4337,0.9955,4000,0.68875,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9340839303991811,0.1,6,recalibrated,0.54,31000,1000,0.03225806451612903,1.0,0.0,0.03225806451612903,2.1000014385208488e-05,1.9572603999986313,0.009875,0.7578827916024966,0.9594663930220626,0.8468435830087855,0.963899384980141,39605,395,2987,9350,1000,16727.428697331394,7767292.221331567,17733.234287325682,167,2505.7961012124792,1067991.35775404,2546.3531833149386,True,False,0.7433709937744986,4337,0.99475,4000,0.53675,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9349027635619243,0.1,7,fixed,0.42333333333333334,31167,1167,0.03744344980267591,1.0,0.0,0.03744344980267591,2.3199972929432988e-05,2.0743581000133418,0.008825,0.7825241144524601,0.9647246927150994,0.864124597207304,0.9707376074005025,39647,353,2683,9654,1167,19652.00122660867,9241777.078908095,21395.90867451836,167,2924.5725292772786,1474484.8575765286,3662.6743871926756,True,False,0.7724233341019138,4337,0.99425,4000,0.58175,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9349027635619243,0.1,7,recalibrated,0.38771428571428573,31167,1167,0.03744344980267591,1.0,0.0,0.03744344980267591,2.3199972929432988e-05,2.0743581000133418,0.01,0.8141363378455054,0.9617004978935274,0.8817874544576622,0.9707376074005025,39600,400,2293,10044,1167,19652.00122660867,9241777.078908095,21395.90867451836,167,2924.5725292772786,1474484.8575765286,3662.6743871926756,True,False,0.7839520405810468,4337,0.99475,4000,0.66625,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9359263050153531,0.1,8,fixed,0.42333333333333334,31333,1333,0.0425430057766572,1.0,0.0,0.0425430057766572,1.789999078027904e-05,1.9846421000256669,0.00465,0.7972764853692146,0.981440830173618,0.8798246791001386,0.9648270689794926,39814,186,2501,9836,1333,22022.344180962013,10177714.020008061,24193.362914643818,166,2370.342954353341,935936.941099966,2797.4542401254594,True,False,0.7618169241411114,4337,0.9955,4000,0.6375,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9359263050153531,0.1,8,recalibrated,0.228,31333,1333,0.0425430057766572,1.0,0.0,0.0425430057766572,1.789999078027904e-05,1.9846421000256669,0.01,0.8599335332738915,0.9636660913797802,0.908849481709929,0.9648270689794926,39600,400,1728,10609,1333,22022.344180962013,10177714.020008061,24193.362914643818,166,2370.342954353341,935936.941099966,2797.4542401254594,True,False,0.8508185381600184,4337,0.99625,4000,0.7335,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.1,9,fixed,0.42333333333333334,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.0500010577961802e-05,2.027471899986267,0.0158,0.7972764853692146,0.9396255254107757,0.8626178469633852,0.9534346893491125,39368,632,2501,9836,1500,25882.045918578027,12667523.743032396,28956.293295688985,167,3859.7017376160143,2489809.7230243348,4762.9303810451665,True,False,0.7685035738990086,4337,0.99375,4000,0.632,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9381780962128966,0.1,9,recalibrated,0.52,31500,1500,0.047619047619047616,1.0,0.0,0.047619047619047616,2.0500010577961802e-05,2.027471899986267,0.009475,0.7685823133662965,0.9615657641212859,0.8543111992071358,0.9534346893491125,39621,379,2855,9482,1500,25882.045918578027,12667523.743032396,28956.293295688985,167,3859.7017376160143,2489809.7230243348,4762.9303810451665,True,False,0.7535162554761355,4337,0.993,4000,0.5605,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9353121801432958,0.1,10,fixed,0.42333333333333334,31667,1667,0.052641551141566933,1.0,0.0,0.052641551141566933,1.759998849593103e-05,1.9360417000134476,0.0128,0.7721488206208965,0.948993823470811,0.8514860335195531,0.9672098119477993,39488,512,2811,9526,1667,28189.380304295955,13786131.414165216,31178.64850789401,167,2307.334385717928,1118607.6711328193,2222.355212205023,True,False,0.777034816693567,4337,0.995,4000,0.544,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9353121801432958,0.1,10,recalibrated,0.481570220444059,31667,1667,0.052641551141566933,1.0,0.0,0.052641551141566933,1.759998849593103e-05,1.9360417000134476,0.01,0.7462105860419875,0.9583593587341245,0.8390830788862051,0.9672098119477993,39600,400,3131,9206,1667,28189.380304295955,13786131.414165216,31178.64850789401,167,2307.334385717928,1118607.6711328193,2222.355212205023,True,False,0.764122665436938,4337,0.99475,4000,0.47825,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9320368474923234,0.1,11,fixed,0.42333333333333334,31833,1833,0.057581754782772596,1.0,0.0,0.057581754782772596,2.3199972929432988e-05,2.001228799985256,0.0122,0.7839831401475237,0.9519685039370078,0.8598479797306308,0.973494818432358,39512,488,2665,9672,1833,30632.057962760628,15158969.467293493,34426.30039537123,166,2442.677658464673,1372838.0531282786,3247.651887477223,True,False,0.7685035738990086,4337,0.99525,4000,0.5895,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9320368474923234,0.1,11,recalibrated,0.45000000000000007,31833,1833,0.057581754782772596,1.0,0.0,0.057581754782772596,2.3199972929432988e-05,2.001228799985256,0.009925,0.7685823133662965,0.9598137463306002,0.8536190133237305,0.973494818432358,39603,397,2855,9482,1833,30632.057962760628,15158969.467293493,34426.30039537123,166,2442.677658464673,1372838.0531282786,3247.651887477223,True,False,0.7599723311044501,4337,0.99475,4000,0.55175,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9281473899692938,0.1,12,fixed,0.42333333333333334,32000,2000,0.0625,1.0,0.0,0.0625,2.3899978259578347e-05,2.108130300010089,0.0047,0.8028694172002918,0.9813732289705737,0.8831921533660275,0.9817671992785929,39812,188,2432,9905,2000,32657.981583559296,15804157.796829883,38707.85086812936,167,2025.9236207986673,645188.3295363886,4281.550472758125,True,False,0.7751902236569057,4337,0.99475,4000,0.641,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9281473899692938,0.1,12,recalibrated,0.28294407158836693,32000,2000,0.0625,1.0,0.0,0.0625,2.3899978259578347e-05,2.108130300010089,0.00985,0.8517467779849234,0.9638598422307834,0.9043418391497052,0.9817671992785929,39606,394,1829,10508,2000,32657.981583559296,15804157.796829883,38707.85086812936,167,2025.9236207986673,645188.3295363886,4281.550472758125,True,False,0.8388286834217201,4337,0.99575,4000,0.72175,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
a1,rf,2,accumulate,fixed_ratio,auto_malicious,none,0.1,0.9285568065506653,0.1,13,fixed,0.42333333333333334,32167,2167,0.06736717754220163,1.0,0.0,0.06736717754220163,1.9400002202019095e-05,2.0413008999894373,0.011,0.8177839020831644,0.9582106562826479,0.882445552348465,0.9717656521034287,39560,440,2248,10089,2167,35302.76943909934,17279985.951194532,42508.86715066337,167,2644.7878555400484,1475828.1543646483,3801.01628253401,True,False,0.778418261471063,4337,0.9955,4000,0.68275,4000,0.1,1.0,cicids,,,,,,,,0.09050588449337865,0.06517973717597476,0.12870805436954444,2000
