family,jitter,ratio,n_seeds,mean_delta_tpr,sd_delta_tpr,ci95_lo,ci95_hi,t,p,realized_dist_median,holm_threshold,survives
15seed_all,1.5,0.5,15,-0.1142363081246115,0.032036494149552,-0.1319775272410843,-0.0964950890081388,-13.810353805677783,1.5108560011660236e-09,1.0548960596744494,0.0083333333333333,True
15seed_all,1.5,0.2,15,-0.1164032314717245,0.0383670252581561,-0.1376501818644445,-0.0951562810790046,-11.750396959401444,1.2244433808632438e-08,1.0548960596744494,0.01,True
15seed_all,0.7,0.2,15,-0.1256545351382021,0.0431465686698638,-0.1495483084494337,-0.1017607618269705,-11.27918017512254,2.0629037240982148e-08,0.5583210222042954,0.0125,True
15seed_all,0.7,0.5,15,-0.1298694982572748,0.0737624920935529,-0.1707178048385089,-0.0890211916760407,-6.818945369860958,8.339262411420034e-06,0.5583210222042954,0.0166666666666666,True
15seed_all,0.3,0.2,15,-0.100499851395531,0.0582964268377368,-0.1327833365174564,-0.0682163662736056,-6.67681145938177,1.0493154457220408e-05,0.25367636508168573,0.025,True
15seed_all,0.3,0.5,15,-0.0470670881629785,0.0512241166446044,-0.0754340584437262,-0.0187001178822308,-3.558676274974732,0.0031462506194283,0.25367636508168573,0.05,True
10seed_new_only,1.5,0.5,10,-0.1236848504498662,0.0296762900312371,-0.1449139894673001,-0.1024557114324324,-13.17974177591545,3.450883398853751e-07,1.0548960596744494,0.0083333333333333,True
10seed_new_only,1.5,0.2,10,-0.1229553376023344,0.0386445385397832,-0.1505999751248178,-0.0953107000798509,-10.061419594855492,3.4003562693887315e-06,1.0548960596744494,0.01,True
10seed_new_only,0.7,0.2,10,-0.1339871929966766,0.0448181187976973,-0.1660481437912231,-0.1019262422021302,-9.45387085688721,5.699102727338212e-06,0.5583210222042954,0.0125,True
10seed_new_only,0.3,0.2,10,-0.1139580124827754,0.0613574586075448,-0.1578504942304918,-0.0700655307350589,-5.873236689551499,0.0002368096632776,0.25367636508168573,0.0166666666666666,True
10seed_new_only,0.7,0.5,10,-0.1353408446137634,0.0732873778653491,-0.1877674764902226,-0.0829142127373043,-5.839823198706347,0.000246871758098,0.5583210222042954,0.025,True
10seed_new_only,0.3,0.5,10,-0.0626327308097592,0.0552374519196014,-0.1021472235086687,-0.0231182381108497,-3.5856484785598437,0.0058786186081733,0.25367636508168573,0.05,True
