run_dir,calibration_tau,scenario,defense,model,threshold_mode,jitter,target_poison_ratio,cost_padding,label_policy,retention,budget_mode,d1_estar,d1_gamma,d1_components,n_seeds,fpr_mean,fpr_std,tpr_mean,tpr_std,precision_mean,precision_std,f1_mean,f1_std,auroc_mean,auroc_std,tpr_seen_both_mean,tpr_seen_both_std,tpr_seed_only_mean,tpr_seed_only_std,tpr_honeypot_only_mean,tpr_honeypot_only_std,poison_ratio_mean,poison_ratio_std,hp_effective_ratio_mean,hp_effective_ratio_std,hp_mean_weight_mean,hp_mean_weight_std,cum_flows_mean,cum_flows_std,cum_packets_mean,cum_packets_std,cum_bytes_mean,cum_bytes_std,cum_duration_s_mean,cum_duration_s_std,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,fidelity_median_mean,fidelity_median_std,sigma_control_fpr,sigma_control_tpr
cicids,0.0,a1,none,rf,fixed,0.0,0.005,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.052625,0.016443957856915103,0.8788035989300479,0.0037625635254227565,0.8391542687964655,0.04177133706129737,0.8580619558113354,0.021417764496607154,0.9506390109021643,0.013130536348763367,0.869587272308047,0.00833199326045047,0.9966000000000002,0.00013693063937627814,0.7710000000000001,0.010335013304297183,0.005008125766972903,0.0,,,,,151.0,0.0,2554.8,353.0838427342718,1138698.0,313722.524187378,2698.3512782,579.228181638646,0.01096,0.005987476513523871,0.0028045716138445087,0.0031812155231009985,0.010602133547744839,0.0017507027543012625,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.01,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.07344999999999999,0.01583244295742132,0.8847693928831969,0.008402329486590962,0.7892378575260544,0.03716260364833738,0.833926214862372,0.021589351874368976,0.9518949694009888,0.018116489917571404,0.8766428406732765,0.012832646630707316,0.99685,0.00022360679774994501,0.7815,0.024032530037430517,0.00999900999901,0.0,,,,,303.0,0.0,6627.6,3372.8405387744024,4401951.4,4210816.563319138,5356.370484000001,528.1902873044207,0.031784999999999994,0.026684596446264645,0.008770365566993598,0.007796105971161953,0.010494820840572353,0.0015766567866756492,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.097065,0.01574897417294219,0.8959876793385749,0.012543342240583651,0.7411016239715791,0.0297951639790072,0.8108909989879326,0.017901784411760078,0.9433947381859447,0.015524230185485231,0.8927369149181462,0.018058827254277942,0.9968999999999999,0.00013693063937627814,0.7986,0.03484815274874697,0.0199921599372795,0.0,,,,,612.0,0.0,11988.0,2716.487805972999,7140254.0,3694386.577159529,10762.414079400001,708.0651730377367,0.055400000000000005,0.02295054465584641,0.01998865202237172,0.014278297428363774,0.010353908058669573,0.0011912963121897856,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.05,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.50949,0.05326308113975384,0.9337440220474994,0.018900500154658103,0.36239846093093214,0.024030392998809803,0.5217145692220673,0.02435984142543964,0.9311296536840399,0.011992464258453864,0.9375605257090154,0.022878252526860047,0.99725,0.0001767766952966403,0.8661,0.04503352917549325,0.050001583330694446,0.0,,,,,1579.0,0.0,29510.0,4075.350353037147,16468649.2,5254777.720617086,28307.0940114,1265.778634492983,0.46782500000000005,0.04901493713655053,0.05774499473129609,0.020111411988476206,0.010431682190518916,0.0002744500307690419,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.1,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.828745,0.027566954855406143,0.9592769717111128,0.0070381083385926005,0.26319418136634054,0.005411818266343063,0.4130187209441399,0.006121278973364365,0.9137178163248765,0.001999882402370114,0.9594189531934518,0.018414920902937008,0.99785,0.00045414755311458773,0.9205500000000001,0.010464822024286892,0.0999909999099991,0.0,,,,,3333.0,0.0,61792.8,4634.075064130921,33370635.6,6164406.520400588,58213.56745740001,1510.2799995067382,0.78708,0.025432296150760782,0.08327794439490963,0.005676477875523344,0.010522984119221288,0.0002878980498117887,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.2,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.96305,0.009086683250779697,0.9918294561076436,0.004533180170025489,0.24107668804919347,0.0017027987600092295,0.3878726063609623,0.0023062939839349613,0.8651578943422227,0.014445440634812179,0.9929444316347705,0.004253452158884903,0.9986,0.000379143772202533,0.98385,0.01182766883202266,0.2,0.0,,,,,7500.0,0.0,149313.4,12688.47017177406,84889593.6,15012718.485969665,131937.0163472,526.3872013475903,0.9213850000000001,0.009509281650051177,0.11583042879144041,0.003498151191868369,0.011071405657643656,0.00034551968343434235,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.0,0.5,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.99558,0.00799408765901404,0.9994326011185863,0.0002066555691656287,0.2364260805253336,0.0014781528174514157,0.3823913330755528,0.0019373035107158553,0.6884635302342547,0.011185629739276452,0.9994927369149181,0.0006186953131196066,0.99895,0.00020916500663349365,0.99985,0.00033541019662497185,0.5,0.0,,,,,30000.0,0.0,580076.0,11994.591677085145,321350703.6,16471987.633616712,534067.1535051999,6011.250187997705,0.953915,0.010956499212796044,0.12343357380238304,0.0028574167383202324,0.010793520647202747,0.0012377923938563728,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.005,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.06262,0.017876480707902216,0.8907189754397342,0.005842966072349448,0.8163256928053879,0.04328141875558507,0.8513420832392902,0.021711255326376477,0.9666018077733647,0.005011481201324319,0.8914918146183999,0.005965144800045793,0.99665,0.00013693063937628827,0.78395,0.017843416152743867,0.005008125766972903,0.0,,,,,151.0,0.0,2558.128143062796,356.36484773361684,1139349.0459932424,311530.7096576008,2678.681792929915,575.290914092047,0.020955,0.014020814883593611,0.014719948123530857,0.006756866545371202,0.014301275655447476,0.0015652003985709465,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.01,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.048235,0.00932611588497591,0.8851746777984923,0.0035704657967099637,0.8504336603886508,0.024381486438508456,0.8672999283275692,0.012381809801900904,0.9666224775066873,0.008845480599144367,0.8896933364076551,0.0075732282585662235,0.9967,0.00011180339887497717,0.76875,0.01102553853559997,0.00999900999901,0.0,,,,,303.0,0.0,6616.435412371318,3342.8881840015265,4418617.861672556,4211141.378332615,5343.785678181653,525.42761614486,0.0065699999999999995,0.012698713025342371,0.009175650482289032,0.004799299021306221,0.01428035207804062,0.0009875441560807624,0.014823297644627679,0.004497682586038139
cicids,0.0,a1,none,rf,fixed,0.01,0.02,1.0,auto_malicious,accumulate,fixed_ratio,-1.0,-1.0,,5,0.05956,0.01693637542392114,0.8882224203615141,0.004669754631055892,0.8232331620414264,0.04247569268635124,0.8539814250254857,0.021223113058698687,0.960783032747021,0.004634143656454927,0.8940281300438091,0.006376531618148384,0.99665,0.0001369306393762545,0.7735000000000001,0.007826237921249233,0.0199921599372795,0.0,,,,,612.0,0.0,12009.762641639174,2748.113987102125,7080794.702525869,3586579.9100903803,10785.035215267071,685.1806815533193,0.017895,0.01753833658018913,0.012223393045310837,0.004351635311410429,0.013824327365341147,0.00094761901401091,0.014823297644627679,0.004497682586038139
