model,defense,defense_s_per_round,fit_s_per_round,defense_overhead_vs_fit
rf,d1_E8_g2,0.00013374824996844836,1.9114844200000107,6.99708815667185e-05
rf,knn,0.0690077417499424,1.6172250162500177,0.04267046394691314
rf,loss,0.6752000387500448,2.2741468629999506,0.2969025658524761
rf,none,3.0443285735860367e-05,2.2902259552857283,1.329269964197147e-05
xgboost,d1_E8_g2,0.00012880475006568303,1.175771748999946,0.00010954911119036332
xgboost,knn,0.0671709439999313,1.0578004757499775,0.06350058025102258
xgboost,loss,0.6756703265000215,1.20387107750008,0.5612480764162029
xgboost,none,2.7199714313610457e-05,1.2204082641428586,2.2287389484955594e-05
