scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,5,accumulate,fixed_ratio,0.01,0,fixed,0.10614814814814814,30000,0,0.0,0.0458,0.8776850125638324,0.8552922590837283,0.8663439612753531,0.961020377725541,38168,1832,1509,10828,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8593497809545769,4337,0.9965,4000,0.77875,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,0,recalibrated,0.285016317016317,30000,0,0.0,0.00995,0.8056253546243008,0.9614975331334042,0.8766869542206932,0.961020377725541,39602,398,2398,9939,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8194604565367766,4337,0.996,4000,0.60025,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,1,fixed,0.10614814814814814,30015,15,0.0004997501249375312,0.022425,0.8758207019534733,0.9233464365065801,0.8989558633886601,0.9656123307935479,39103,897,1532,10805,15,557.5623253116595,687807.2057713087,428.54091862541975,15,557.5623253116595,687807.2057713087,428.54091862541975,True,False,0.8671893013603874,4337,0.99675,4000,0.76425,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,1,recalibrated,0.13662337662337662,30015,15,0.0004997501249375312,0.01,0.8715246818513415,0.9641319942611191,0.9154923581250798,0.9656123307935479,39600,400,1585,10752,15,557.5623253116595,687807.2057713087,428.54091862541975,15,557.5623253116595,687807.2057713087,428.54091862541975,True,False,0.8593497809545769,4337,0.9965,4000,0.75975,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,2,fixed,0.10614814814814814,30030,30,0.000999000999000999,0.041475,0.8789819242927778,0.8673118451571623,0.8731078904991948,0.9699292909540407,38341,1659,1493,10844,30,749.4323055743118,742327.6213233914,688.1631943612443,15,191.86998026265232,54520.41555208269,259.6222757358246,True,False,0.8835600645607563,4337,0.9965,4000,0.7565,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,2,recalibrated,0.20578258997501223,30030,30,0.000999000999000999,0.009525,0.863013698630137,0.9654515778019587,0.9113631500106998,0.9699292909540407,39619,381,1690,10647,30,749.4323055743118,742327.6213233914,688.1631943612443,15,191.86998026265232,54520.41555208269,259.6222757358246,True,False,0.8466682038275305,4337,0.9965,4000,0.74725,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,3,fixed,0.10614814814814814,30045,45,0.0014977533699450823,0.060475,0.8864391667342142,0.8188693373268439,0.8513155846177798,0.9578881737861716,37581,2419,1401,10936,45,907.957191893176,768323.5089855597,698.8946041980993,15,158.52488631886408,25995.887662168185,10.731409836854956,True,False,0.8867881023749136,4337,0.99675,4000,0.77575,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,3,recalibrated,0.2571428571428572,30045,45,0.0014977533699450823,0.009875,0.8493961254762098,0.9636748206731653,0.9029339537288356,0.9578881737861716,39605,395,1858,10479,45,907.957191893176,768323.5089855597,698.8946041980993,15,158.52488631886408,25995.887662168185,10.731409836854956,True,False,0.8415955729767121,4337,0.99525,4000,0.712,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,4,fixed,0.10614814814814814,30061,61,0.0020292072785336483,0.06415,0.879144038258896,0.8086787951088578,0.8424404831255584,0.9671288988408852,37434,2566,1491,10846,61,1070.569840162731,828663.6253943953,950.0504929731877,16,162.61264826955508,60340.11640883564,251.15588877508847,True,False,0.8801014526170163,4337,0.997,4000,0.76025,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,4,recalibrated,0.2736173753673411,30061,61,0.0020292072785336483,0.009925,0.8544216584258734,0.9637045163649661,0.9057787325456499,0.9671288988408852,39603,397,1796,10541,61,1070.569840162731,828663.6253943953,950.0504929731877,16,162.61264826955508,60340.11640883564,251.15588877508847,True,False,0.8229190684805164,4337,0.99575,4000,0.74725,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,5,fixed,0.10614814814814814,30076,76,0.0025269317728421332,0.052475,0.8840885142255005,0.8386129478702138,0.8607505030975022,0.9544648111372295,37901,2099,1430,10907,76,1161.1853355368744,842276.3648313965,1270.2357021190574,15,90.61549537414339,13612.739437001122,320.1852091458695,True,False,0.8900161401890708,4337,0.997,4000,0.76475,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,5,recalibrated,0.3195238095238095,30076,76,0.0025269317728421332,0.009875,0.855880684120937,0.9639401132006573,0.906702159632476,0.9544648111372295,39605,395,1778,10559,76,1161.1853355368744,842276.3648313965,1270.2357021190574,15,90.61549537414339,13612.739437001122,320.1852091458695,True,False,0.8427484436246253,4337,0.9955,4000,0.7305,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,6,fixed,0.10614814814814814,30091,91,0.0030241600478548404,0.072525,0.8832779443949096,0.7897521379910132,0.8339008991773484,0.9564186522250142,37099,2901,1440,10897,91,1401.6639839318811,910871.6542758496,1632.2526699574646,15,240.47864839500667,68595.28944445311,362.01696783840725,True,False,0.8918607332257321,4337,0.997,4000,0.76025,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,6,recalibrated,0.41333333333333333,30091,91,0.0030241600478548404,0.01,0.8104077166247873,0.9615310636660896,0.8795249615130856,0.9564186522250142,39600,400,2339,9998,91,1401.6639839318811,910871.6542758496,1632.2526699574646,15,240.47864839500667,68595.28944445311,362.01696783840725,True,False,0.813004380908462,4337,0.9955,4000,0.6225,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,7,fixed,0.10614814814814814,30106,106,0.0035208928452800108,0.0628,0.8964902326335413,0.8149130562923667,0.8537573816048478,0.9492243231741915,37488,2512,1277,11060,106,1601.0211139952933,951203.7324249585,2089.6890162291097,15,199.35713006341211,40332.07814910891,457.43634627164494,True,False,0.9163015909614941,4337,0.99675,4000,0.77475,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,7,recalibrated,0.23600000000000002,30106,106,0.0035208928452800108,0.009625,0.859447191375537,0.9649617764834365,0.9091532690246518,0.9492243231741915,39615,385,1734,10603,106,1601.0211139952933,951203.7324249585,2089.6890162291097,15,199.35713006341211,40332.07814910891,457.43634627164494,True,False,0.8413649988471293,4337,0.99625,4000,0.74225,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,8,fixed,0.10614814814814814,30121,121,0.004017130905348428,0.05725,0.8932479533111778,0.8279489105935387,0.8593597691737824,0.9590137239604442,37710,2290,1317,11020,121,1868.2394576380034,1034012.9666535042,2487.2088493134625,15,267.21834364271007,82809.23422854564,397.5198330843526,True,False,0.8888632695411575,4337,0.99675,4000,0.7945,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
a1,rf,5,accumulate,fixed_ratio,0.01,8,recalibrated,0.27420634920634923,30121,121,0.004017130905348428,0.00945,0.8623652427656643,0.9656893891258963,0.9111073049584653,0.9590137239604442,39622,378,1698,10639,121,1868.2394576380034,1034012.9666535042,2487.2088493134625,15,267.21834364271007,82809.23422854564,397.5198330843526,True,False,0.840903850587964,4337,0.99625,4000,0.75175,4000,0.1,cicids,0.0914046010239832,0.06614963848320729,0.12214915525336449,303
