scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,4,0.1,0,fixed,0.05549756437540054,30000,0,0.0,0.0555,0.8663370349355597,0.8280136349550666,0.8467419290948703,0.9802114259949745,37780,2220,1649,10688,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8669587272308047,4337,0.99675,4000,0.73525,4000,,cicids
s0,xgboost,4,0.1,0,recalibrated,0.45792824029922485,30000,0,0.0,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,,cicids
s0,xgboost,4,0.1,1,fixed,0.05549756437540054,30167,167,0.005535850432591905,0.067275,0.8933290102942368,0.8037485414235706,0.8461745172559407,0.9858787671232877,37309,2691,1316,11021,167,2068.0,1876286.0,12638.624651,167,2068.0,1876286.0,12638.624651,True,False,0.8766428406732765,4337,0.99675,4000,0.808,4000,,cicids
s0,xgboost,4,0.1,1,recalibrated,0.2608819305896759,30167,167,0.005535850432591905,0.009975,0.852233119883278,0.9634381013470174,0.9044301075268818,0.9858787671232877,39601,399,1823,10514,167,2068.0,1876286.0,12638.624651,167,2068.0,1876286.0,12638.624651,True,False,0.8187687341480286,4337,0.996,4000,0.74475,4000,,cicids
s0,xgboost,4,0.1,2,fixed,0.05549756437540054,30333,333,0.010978142616951835,0.06535,0.9130258571775959,0.8116443291540568,0.8593553309174137,0.9878404342627868,37386,2614,1073,11264,333,4168.0,3633504.0,25494.207488,166,2100.0,1757218.0,12855.582837,True,False,0.8837906386903389,4337,0.9985,4000,0.85925,4000,,cicids
s0,xgboost,4,0.1,2,recalibrated,0.23265312612056732,30333,333,0.010978142616951835,0.009975,0.8610683310367188,0.9637996733805118,0.9095423605462563,0.9878404342627868,39601,399,1714,10623,333,4168.0,3633504.0,25494.207488,166,2100.0,1757218.0,12855.582837,True,False,0.8139266774267927,4337,0.99575,4000,0.7775,4000,,cicids
s0,xgboost,4,0.1,3,fixed,0.05549756437540054,30500,500,0.01639344262295082,0.060625,0.9388019777903867,0.826872278146641,0.8792894017613119,0.9904652468185134,37575,2425,755,11582,500,6345.0,5525157.0,38149.741485,167,2177.0,1891653.0,12655.533997,True,False,0.8819460456536776,4337,0.99775,4000,0.9415,4000,,cicids
s0,xgboost,4,0.1,3,recalibrated,0.2615024745464325,30500,500,0.01639344262295082,0.01,0.8626894706979006,0.9637779588879833,0.9104362703165099,0.9904652468185134,39600,400,1694,10643,500,6345.0,5525157.0,38149.741485,167,2177.0,1891653.0,12655.533997,True,False,0.8201521789255246,4337,0.996,4000,0.7755,4000,,cicids
s0,xgboost,4,0.1,4,fixed,0.05549756437540054,30667,667,0.0217497635895262,0.06475,0.9471508470454729,0.8185639229422067,0.8781752592815272,0.9918948903704304,37410,2590,652,11685,667,8539.0,7341734.0,50751.319744,167,2194.0,1816577.0,12601.578259,True,False,0.8754899700253631,4337,0.99825,4000,0.97375,4000,,cicids
s0,xgboost,4,0.1,4,recalibrated,0.27522894740104675,30667,667,0.0217497635895262,0.009875,0.8690119153765097,0.964465635120547,0.9142540399948833,0.9918948903704304,39605,395,1616,10721,667,8539.0,7341734.0,50751.319744,167,2194.0,1816577.0,12601.578259,True,False,0.8155406963338714,4337,0.99625,4000,0.79975,4000,,cicids
