scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,rf,3,0.0,8,recalibrated,0.37733333333333335,30000,0,0.0,0.009525,0.79589851665721,0.9626470588235294,0.8713670852376094,0.9616763607441031,39619,381,2518,9819,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8056260087618169,4337,0.99475,4000,0.5865,4000,,cicids
control,rf,3,0.0,9,fixed,0.12533333333333332,30000,0,0.0,0.0513,0.8732268784955824,0.84,0.8562912328113823,0.9637204608089487,37948,2052,1564,10773,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8683421720083007,4337,0.99625,4000,0.7555,4000,,cicids
control,rf,3,0.0,9,recalibrated,0.2533333333333333,30000,0,0.0,0.009825,0.8596903623247143,0.9642694790435494,0.9089818306479259,0.9637204608089487,39607,393,1731,10606,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8406732764583814,4337,0.996,4000,0.744,4000,,cicids
control,rf,3,0.0,10,fixed,0.12533333333333332,30000,0,0.0,0.025375,0.8693361433087461,0.9135434412265758,0.8908917223906633,0.9521266616681527,38985,1015,1612,10725,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8549688724925063,4337,0.9965,4000,0.75775,4000,,cicids
control,rf,3,0.0,10,recalibrated,0.16666666666666669,30000,0,0.0,0.009975,0.8651211801896733,0.9639631502890174,0.9118715024136017,0.9521266616681527,39601,399,1664,10673,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8492045192529398,4337,0.99625,4000,0.75125,4000,,cicids
control,rf,3,0.0,11,fixed,0.12533333333333332,30000,0,0.0,0.0348,0.8777660695468915,0.8860977006791588,0.8819122078345143,0.977185222298776,38608,1392,1508,10829,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8609637998616555,4337,0.99675,4000,0.777,4000,,cicids
control,rf,3,0.0,11,recalibrated,0.2859999999999999,30000,0,0.0,0.01,0.8524762908324552,0.9633598974077128,0.904532553539176,0.977185222298776,39600,400,1820,10517,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8208439013142725,4337,0.9955,4000,0.74375,4000,,cicids
control,rf,3,0.0,12,fixed,0.12533333333333332,30000,0,0.0,0.030425,0.8707951690038097,0.8982441471571906,0.8843067045314236,0.9639160280051876,38783,1217,1594,10743,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8563523172700023,4337,0.9965,4000,0.76075,4000,,cicids
control,rf,3,0.0,12,recalibrated,0.4146666666666667,30000,0,0.0,0.01,0.7808219178082192,0.9601315658327519,0.8612427358068844,0.9639160280051876,39600,400,2704,9633,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8037814157251556,4337,0.9945,4000,0.54225,4000,,cicids
control,rf,3,0.0,13,fixed,0.12533333333333332,30000,0,0.0,0.0312,0.8731458215125233,0.8961730449251248,0.8845095865664901,0.9710970495258167,38752,1248,1565,10772,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.99675,4000,0.75725,4000,,cicids
control,rf,3,0.0,13,recalibrated,0.41488888888888886,30000,0,0.0,0.007775,0.820945124422469,0.9702078743174634,0.8893572181243414,0.9710970495258167,39689,311,2209,10128,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8010145261701637,4337,0.995,4000,0.6685,4000,,cicids
control,rf,3,0.0,14,fixed,0.12533333333333332,30000,0,0.0,0.0441,0.8740374483261732,0.8594086235753566,0.8666613084713068,0.9673129417605577,38236,1764,1554,10783,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8711090615632926,4337,0.99625,4000,0.755,4000,,cicids
control,rf,3,0.0,14,recalibrated,0.43525108225108233,30000,0,0.0,0.01,0.8006808786576963,0.9610819225530259,0.8735794826442627,0.9673129417605577,39600,400,2459,9878,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8047037122434862,4337,0.99475,4000,0.60225,4000,,cicids
control,rf,3,0.0,15,fixed,0.12533333333333332,30000,0,0.0,0.0325,0.871119396936046,0.8920893168423674,0.8814796587926509,0.9746071725297885,38700,1300,1590,10747,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8572746137883329,4337,0.99675,4000,0.7605,4000,,cicids
control,rf,3,0.0,15,recalibrated,0.39257142857142857,30000,0,0.0,0.009575,0.8347248115425144,0.9641419342758168,0.8947779998262229,0.9746071725297885,39617,383,2039,10298,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8093151948351395,4337,0.99475,4000,0.70225,4000,,cicids
