scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,xgboost,4,0.2,0,fixed,0.05549756437540054,30000,0,0.0,0.0555,0.8663370349355597,0.8280136349550666,0.8467419290948703,0.9802114259949745,37780,2220,1649,10688,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8669587272308047,4337,0.99675,4000,0.73525,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,0,recalibrated,0.45792824029922485,30000,0,0.0,0.0081,0.79411526302991,0.9679873530283569,0.8724730608246504,0.9802114259949745,39676,324,2540,9797,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8003228037814157,4337,0.9955,4000,0.586,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,1,fixed,0.05549756437540054,30375,375,0.012345679012345678,0.050475,0.863905325443787,0.8407351897136547,0.8521627888382507,0.983345542879144,37981,2019,1679,10658,375,7532.505111211509,5751475.541484418,21230.93166660746,375,7532.505111211509,5751475.541484418,21230.93166660746,True,False,0.879640304357851,4337,0.9965,4000,0.71425,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,1,recalibrated,0.2898366153240204,30375,375,0.012345679012345678,0.009925,0.7845505390289373,0.9605994442238984,0.8636951769062599,0.983345542879144,39603,397,2658,9679,375,7532.505111211509,5751475.541484418,21230.93166660746,375,7532.505111211509,5751475.541484418,21230.93166660746,True,False,0.8298362923679963,4337,0.99575,4000,0.52425,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,2,fixed,0.05549756437540054,30750,750,0.024390243902439025,0.048525,0.849639296425387,0.8437575464863559,0.8466882067851373,0.9827071056577774,38059,1941,1855,10482,750,14131.056271670865,10738460.287652742,35910.16050284651,375,6598.551160459356,4986984.746168323,14679.228836239052,True,False,0.8854046575974176,4337,0.997,4000,0.6635,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,2,recalibrated,0.17397576570510864,30750,750,0.024390243902439025,0.009875,0.7831725703169328,0.9607238739186637,0.8629097079574886,0.9827071056577774,39605,395,2675,9662,750,14131.056271670865,10738460.287652742,35910.16050284651,375,6598.551160459356,4986984.746168323,14679.228836239052,True,False,0.8328337560525709,4337,0.99625,4000,0.51625,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,3,fixed,0.05549756437540054,31125,1125,0.03614457831325301,0.04085,0.8989219421253141,0.8715812637535366,0.8850405011771278,0.9860894169976493,38366,1634,1247,11090,1125,21617.152978614962,17131858.0438163,52606.35738066249,375,7486.096706944099,6393397.756163558,16696.19687781598,True,False,0.9501959880101453,4337,0.997,4000,0.74525,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,3,recalibrated,0.17458277940750122,31125,1125,0.03614457831325301,0.009475,0.8274296830671962,0.964201379049778,0.8905950095969289,0.9860894169976493,39621,379,2129,10208,1125,21617.152978614962,17131858.0438163,52606.35738066249,375,7486.096706944099,6393397.756163558,16696.19687781598,True,False,0.827991699331335,4337,0.9965,4000,0.65775,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,4,fixed,0.05549756437540054,31500,1500,0.047619047619047616,0.0492,0.8734700494447597,0.8455743879472694,0.859295881344444,0.9845378576639378,38032,1968,1561,10776,1500,27054.7225607704,19839464.978869934,62318.620086755305,375,5437.569582155436,2707606.9350536363,9712.262706092815,True,False,0.9176850357389901,4337,0.997,4000,0.702,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,4,recalibrated,0.21964630484580994,31500,1500,0.047619047619047616,0.009975,0.8005187646915782,0.9611678832116788,0.8735184857597736,0.9845378576639378,39601,399,2461,9876,1500,27054.7225607704,19839464.978869934,62318.620086755305,375,5437.569582155436,2707606.9350536363,9712.262706092815,True,False,0.8097763430943048,4337,0.9965,4000,0.5945,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,5,fixed,0.05549756437540054,31875,1875,0.058823529411764705,0.05345,0.9168355353813731,0.8410290727935162,0.8772977584735904,0.9870487101807571,37862,2138,1026,11311,1875,33887.777707931404,23085296.448032454,75317.19623643739,375,6833.055147161005,3245831.4691625186,12998.576149682085,True,False,0.9379755591422643,4337,0.99675,4000,0.814,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,5,recalibrated,0.225107803940773,31875,1875,0.058823529411764705,0.0098,0.8472075869336143,0.9638509774990778,0.9017730037530735,0.9870487101807571,39608,392,1885,10452,1875,33887.777707931404,23085296.448032454,75317.19623643739,375,6833.055147161005,3245831.4691625186,12998.576149682085,True,False,0.8238413649988471,4337,0.9965,4000,0.72325,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,6,fixed,0.05549756437540054,32250,2250,0.06976744186046512,0.0612,0.8964902326335413,0.818774059816405,0.8558715418843102,0.9831546415254924,37552,2448,1277,11060,2250,41806.4106229869,27275371.15986513,86099.60446256955,375,7918.632915055493,4190074.711832676,10782.408226132158,True,False,0.9308277611252017,4337,0.997,4000,0.75875,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,6,recalibrated,0.27764642238616943,32250,2250,0.06976744186046512,0.0079,0.8094350328280782,0.9693263443991458,0.8821944432174567,0.9831546415254924,39684,316,2351,9986,2250,41806.4106229869,27275371.15986513,86099.60446256955,375,7918.632915055493,4190074.711832676,10782.408226132158,True,False,0.8095457689647222,4337,0.99575,4000,0.623,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
a1,xgboost,4,0.2,7,fixed,0.05549756437540054,32625,2625,0.08045977011494253,0.050175,0.912215287347005,0.8486539476660885,0.8792874443315883,0.9864614107967902,37993,2007,1083,11254,2625,49785.97327918191,32875552.043243043,98883.05821284786,375,7979.562656195009,5600180.883377913,12783.453750278308,True,False,0.9349780954576896,4337,0.997,4000,0.80275,4000,0.2,cicids,0.17254987367734914,0.12530094942273395,0.22461367897308657,2000
