scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
control,xgboost,3,0.0,8,fixed,0.07161957025527954,30000,0,0.0,0.0295,0.8717678528005187,0.9011311269375786,0.886206328279499,0.9816688254843154,38820,1180,1582,10755,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8664975789716394,4337,0.9965,4000,0.75275,4000,,cicids
control,xgboost,3,0.0,8,recalibrated,0.3372249901294708,30000,0,0.0,0.008625,0.8368322931020508,0.967663323647952,0.8975049986959923,0.9816688254843154,39655,345,2013,10324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.816462992852202,4337,0.996,4000,0.69975,4000,,cicids
control,xgboost,3,0.0,9,fixed,0.07161957025527954,30000,0,0.0,0.031925,0.873713220393937,0.8940776376907764,0.8837781330709631,0.980872342344168,38723,1277,1558,10779,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8713396356928753,4337,0.99675,4000,0.75325,4000,,cicids
control,xgboost,3,0.0,9,recalibrated,0.51165771484375,30000,0,0.0,0.01,0.7952500607927373,0.9608265595925962,0.8702323931169061,0.980872342344168,39600,400,2526,9811,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.804934286373069,4337,0.994,4000,0.586,4000,,cicids
control,xgboost,3,0.0,10,fixed,0.07161957025527954,30000,0,0.0,0.03305,0.8738753343600552,0.8907708832520863,0.882242225859247,0.9844894281429846,38678,1322,1556,10781,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8685727461378834,4337,0.9965,4000,0.757,4000,,cicids
control,xgboost,3,0.0,10,recalibrated,0.21849867701530457,30000,0,0.0,0.00955,0.847856042798087,0.9647666482198857,0.9025410932309417,0.9844894281429846,39618,382,1877,10460,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8351394973483975,4337,0.996,4000,0.7135,4000,,cicids
control,xgboost,3,0.0,11,fixed,0.07161957025527954,30000,0,0.0,0.02565,0.8606630461214234,0.9118859498454139,0.8855343813852633,0.9837857268784956,38974,1026,1719,10618,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8697256167857966,4337,0.99675,4000,0.71475,4000,,cicids
control,xgboost,3,0.0,11,recalibrated,0.13423940539360046,30000,0,0.0,0.009625,0.854989057307287,0.9647855117534071,0.9065749892565534,0.9837857268784956,39615,385,1789,10548,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8614249481208208,4337,0.99625,4000,0.70675,4000,,cicids
control,xgboost,3,0.0,12,fixed,0.07161957025527954,30000,0,0.0,0.03285,0.8592040204263597,0.8897095853617593,0.8741907550204115,0.9834432540325849,38686,1314,1737,10600,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.866036430712474,4337,0.9965,4000,0.7145,4000,,cicids
control,xgboost,3,0.0,12,recalibrated,0.35747411847114563,30000,0,0.0,0.007275,0.7941963200129691,0.9711567053226287,0.8738071880852581,0.9834432540325849,39709,291,2539,9798,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.801475674429329,4337,0.9955,4000,0.585,4000,,cicids
