scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,3,accumulate,fixed_ratio,0.01,7,fixed,0.07161957025527954,30106,106,0.0035208928452800108,0.02705,0.876469157817946,0.9090374106767549,0.8924562561901617,0.9834287458458296,38918,1082,1524,10813,106,1343.0,1210539.0,8835.661884000001,15,188.0,168354.0,1146.444931,True,False,0.8692644685266313,4337,0.99675,4000,0.764,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,7,recalibrated,0.13770535588264465,30106,106,0.0035208928452800108,0.00865,0.8693361433087461,0.9687471773100894,0.9163533834586466,0.9834287458458296,39654,346,1612,10725,106,1343.0,1210539.0,8835.661884000001,15,188.0,168354.0,1146.444931,True,False,0.8572746137883329,4337,0.9965,4000,0.75525,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,8,fixed,0.07161957025527954,30121,121,0.004017130905348428,0.03305,0.8746048472075869,0.8908520475561427,0.8826536872673728,0.9859406358920321,38678,1322,1547,10790,121,1527.0,1371662.0,10086.608868000001,15,184.0,161123.0,1250.946984,True,False,0.8683421720083007,4337,0.9965,4000,0.7595,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,8,recalibrated,0.26086416840553284,30121,121,0.004017130905348428,0.009175,0.8529626327308097,0.9662993572084482,0.9061006587161493,0.9859406358920321,39633,367,1814,10523,121,1527.0,1371662.0,10086.608868000001,15,184.0,161123.0,1250.946984,True,False,0.8187687341480286,4337,0.99625,4000,0.74675,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,9,fixed,0.07161957025527954,30136,136,0.004512874966817096,0.052775,0.8783334684283051,0.8369506449370511,0.8571428571428571,0.9845832708519089,37889,2111,1501,10836,136,1725.0,1552638.0,11311.482207000001,15,198.0,180976.0,1224.873339,True,False,0.8671893013603874,4337,0.997,4000,0.77175,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,9,recalibrated,0.35656094551086426,30136,136,0.004512874966817096,0.009925,0.8519899489341006,0.9636046938027136,0.9043665304366529,0.9845832708519089,39603,397,1826,10511,136,1725.0,1552638.0,11311.482207000001,15,198.0,180976.0,1224.873339,True,False,0.8160018445930367,4337,0.99575,4000,0.74725,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,10,fixed,0.07161957025527954,30152,152,0.0050411249668347044,0.05275,0.8902488449379914,0.8388451844497059,0.8637829335430594,0.9837777498581503,37890,2110,1354,10983,152,1917.0,1732850.0,12480.353059000001,16,192.0,180212.0,1168.870852,True,False,0.8724925063407886,4337,0.997,4000,0.80275,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,10,recalibrated,0.29795119166374207,30152,152,0.0050411249668347044,0.0098,0.8595282483585961,0.9643506729719898,0.908927270389577,0.9837777498581503,39608,392,1733,10604,152,1917.0,1732850.0,12480.353059000001,16,192.0,180212.0,1168.870852,True,False,0.828683421720083,4337,0.99625,4000,0.75625,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,11,fixed,0.07161957025527954,30167,167,0.005535850432591905,0.0289,0.8866823376833914,0.9044233154195949,0.8954649639816634,0.987421449704142,38844,1156,1398,10939,167,2155.0,1896749.0,13680.653327,15,238.0,163899.0,1200.300268,True,False,0.8706479133041273,4337,0.997,4000,0.79375,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,11,recalibrated,0.15971870720386505,30167,167,0.005535850432591905,0.008325,0.8606630461214234,0.9695918180988038,0.911885949845414,0.987421449704142,39667,333,1719,10618,167,2155.0,1896749.0,13680.653327,15,238.0,163899.0,1200.300268,True,False,0.8349089232188148,4337,0.99625,4000,0.753,4000,,cicids
s0,xgboost,3,accumulate,fixed_ratio,0.01,12,fixed,0.07161957025527954,30182,182,0.0060300841561195416,0.050225,0.882710545513496,0.8442514923637491,0.8630527817403708,0.9827627279727649,37991,2009,1447,10890,182,2333.0,2065067.0,14684.641912,15,178.0,168318.0,1003.988585,True,False,0.8683421720083007,4337,0.997,4000,0.784,4000,,cicids
