scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset,fidelity_median,fidelity_p5,fidelity_p95,fidelity_n
a1,rf,4,accumulate,fixed_ratio,0.1,0,fixed,0.11,30000,0,0.0,0.047625,0.8770365566993596,0.850294695481336,0.8634586226159126,0.9744534641728135,38095,1905,1517,10820,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.857966336177081,4337,0.9965,4000,0.77825,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,0,recalibrated,0.2346666666666667,30000,0,0.0,0.00985,0.8592040204263597,0.9641622703292705,0.9086622948009085,0.9744534641728135,39606,394,1737,10600,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8360617938667282,4337,0.996,4000,0.7475,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,1,fixed,0.11,30167,167,0.005535850432591905,0.0759,0.8872497365648051,0.7828636818766986,0.8317945210684297,0.9614983433979087,36964,3036,1391,10946,167,3335.83052742515,1481076.650860075,4132.216090922281,167,3335.83052742515,1481076.650860075,4132.216090922281,True,False,0.9020059949273691,4337,0.9965,4000,0.762,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,1,recalibrated,0.5066666666666666,30167,167,0.005535850432591905,0.01,0.7557753100429602,0.9588646647470177,0.8452925977970174,0.9614983433979087,39600,400,3013,9324,167,3335.83052742515,1481076.650860075,4132.216090922281,167,3335.83052742515,1481076.650860075,4132.216090922281,True,False,0.7606640534931981,4337,0.994,4000,0.51225,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,2,fixed,0.11,30333,333,0.010978142616951835,0.0434,0.8802788360217233,0.8621784693553509,0.8711346408374444,0.962585552605982,38264,1736,1477,10860,333,6416.0998838647365,3361562.3075350085,6874.148610121974,166,3080.2693564395863,1880485.6566749334,2741.9325191996927,True,False,0.8893244178003228,4337,0.99675,4000,0.754,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,2,recalibrated,0.526,30333,333,0.010978142616951835,0.0089,0.7574775066872012,0.963302752293578,0.8480805880751431,0.962585552605982,39644,356,2992,9345,333,6416.0998838647365,3361562.3075350085,6874.148610121974,166,3080.2693564395863,1880485.6566749334,2741.9325191996927,True,False,0.7595111828452847,4337,0.99425,4000,0.5185,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,3,fixed,0.11,30500,500,0.01639344262295082,0.059575,0.896166004701305,0.8226802589478384,0.8578522656734946,0.9784773030315311,37617,2383,1281,11056,500,9428.51006363814,4949414.736537983,9501.5719760995,167,3012.410179773403,1587852.4290029742,2627.423365977526,True,False,0.9324417800322804,4337,0.997,4000,0.756,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,3,recalibrated,0.3419047619047619,30500,500,0.01639344262295082,0.009825,0.8506930372051552,0.9639052167523879,0.903767491926803,0.9784773030315311,39607,393,1842,10495,500,9428.51006363814,4949414.736537983,9501.5719760995,167,3012.410179773403,1587852.4290029742,2627.423365977526,True,False,0.8224579202213511,4337,0.99525,4000,0.73675,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,4,fixed,0.11,30667,667,0.0217497635895262,0.0915,0.9037043041258004,0.7528529948004592,0.8214101525086569,0.9760088848585555,36340,3660,1188,11149,667,12038.036965288837,6183840.544552776,12075.51312649706,167,2609.526901650698,1234425.808014793,2573.941150397561,True,False,0.8978556605948812,4337,0.99675,4000,0.817,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,4,recalibrated,0.49133333333333323,30667,667,0.0217497635895262,0.01,0.7622598686876875,0.9592003263973888,0.8494647938214173,0.9760088848585555,39600,400,2933,9404,667,12038.036965288837,6183840.544552776,12075.51312649706,167,2609.526901650698,1234425.808014793,2573.941150397561,True,False,0.7708093151948351,4337,0.99425,4000,0.521,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,5,fixed,0.11,30833,833,0.02701650828657607,0.04715,0.8915457566669368,0.853628249902988,0.8721750852430419,0.9810717678528005,38114,1886,1338,10999,833,16168.94494963557,9041638.295506854,15439.971356086651,166,4130.907984346733,2857797.750954077,3364.4582295895916,True,False,0.89601106755822,4337,0.9965,4000,0.78175,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,5,recalibrated,0.47666666666666674,30833,833,0.02701650828657607,0.01,0.8267001702196645,0.9622605906217567,0.8893442622950819,0.9810717678528005,39600,400,2138,10199,833,16168.94494963557,9041638.295506854,15439.971356086651,166,4130.907984346733,2857797.750954077,3364.4582295895916,True,False,0.7754207977864883,4337,0.9945,4000,0.7145,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,6,fixed,0.11,31000,1000,0.03225806451612903,0.0592,0.9001377968712004,0.8242410747420768,0.8605191786129407,0.9829934394504336,37632,2368,1232,11105,1000,19109.267505992975,10290021.882399462,18537.640257907166,167,2940.322556357405,1248383.5868926093,3097.6689018205147,True,False,0.89601106755822,4337,0.997,4000,0.80775,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,6,recalibrated,0.2528232077841389,31000,1000,0.03225806451612903,0.008575,0.8517467779849234,0.9683900101373145,0.9063308607900639,0.9829934394504336,39657,343,1829,10508,1000,19109.267505992975,10290021.882399462,18537.640257907166,167,2940.322556357405,1248383.5868926093,3097.6689018205147,True,False,0.8448236107908693,4337,0.996,4000,0.715,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,7,fixed,0.11,31167,1167,0.03744344980267591,0.06765,0.8980303153116641,0.8036996735582155,0.8482505168057576,0.9673603367917646,37294,2706,1258,11079,1167,21299.64578079826,11128359.532947492,21449.203841093073,167,2190.3782748052818,838337.6505480303,2911.5635831859063,True,False,0.9029282914456997,4337,0.99675,4000,0.794,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,7,recalibrated,0.3806666666666667,31167,1167,0.03744344980267591,0.009875,0.815595363540569,0.9622262599215836,0.8828639115556726,0.9673603367917646,39605,395,2275,10062,1167,21299.64578079826,11128359.532947492,21449.203841093073,167,2190.3782748052818,838337.6505480303,2911.5635831859063,True,False,0.7853354853585428,4337,0.99525,4000,0.66875,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,8,fixed,0.11,31333,1333,0.0425430057766572,0.0671,0.8877360784631596,0.8031680844822529,0.8433373118238171,0.9717266819323985,37316,2684,1385,10952,1333,23709.919490383996,12204038.858791577,24303.07387511585,166,2410.2737095857374,1075679.325844085,2853.8700340227765,True,False,0.9040811620936131,4337,0.99675,4000,0.761,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,8,recalibrated,0.2944898034853541,31333,1333,0.0425430057766572,0.00975,0.8426683958823052,0.9638420174300019,0.8991912814081218,0.9717266819323985,39610,390,1941,10396,1333,23709.919490383996,12204038.858791577,24303.07387511585,166,2410.2737095857374,1075679.325844085,2853.8700340227765,True,False,0.8547382983629237,4337,0.996,4000,0.67625,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,9,fixed,0.11,31500,1500,0.047619047619047616,0.0743,0.9338575018237821,0.7949354860967364,0.8588147595974654,0.9824181638566912,37028,2972,816,11521,1500,26045.24905337402,13170661.137488715,26332.404827591698,167,2335.3295629900226,966622.2786971387,2029.3309524758479,True,False,0.945584505418492,4337,0.99675,4000,0.85825,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,9,recalibrated,0.3753333333333333,31500,1500,0.047619047619047616,0.009775,0.8230526059820054,0.9629208155523945,0.8875098330565511,0.9824181638566912,39609,391,2183,10154,1500,26045.24905337402,13170661.137488715,26332.404827591698,167,2335.3295629900226,966622.2786971387,2029.3309524758479,True,False,0.7832603181922988,4337,0.99425,4000,0.695,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,10,fixed,0.11,31667,1667,0.052641551141566933,0.0723,0.9043527599902732,0.7941490497544309,0.8456757371333283,0.979783724771014,37108,2892,1180,11157,1667,28693.63642380907,14094363.810861716,30148.086706081576,167,2648.3873704350476,923702.6733730015,3815.6818784898796,True,False,0.9391284297901775,4337,0.997,4000,0.774,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,10,recalibrated,0.540952380952381,31667,1667,0.052641551141566933,0.009975,0.8078949501499554,0.9615087786995948,0.8780337400343567,0.979783724771014,39601,399,2370,9967,1667,28693.63642380907,14094363.810861716,30148.086706081576,167,2648.3873704350476,923702.6733730015,3815.6818784898796,True,False,0.7701175928060872,4337,0.9945,4000,0.66225,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,11,fixed,0.11,31833,1833,0.057581754782772596,0.0675,0.8982734862608414,0.804092294296909,0.8485776637696696,0.9766265056334603,37300,2700,1255,11082,1833,32076.42938583063,15975334.03960775,33817.97161290418,166,3382.792962021562,1880970.2287460347,3669.8849068225986,True,False,0.9073091999077704,4337,0.99625,4000,0.7905,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,11,recalibrated,0.55,31833,1833,0.057581754782772596,0.009975,0.7147604766150604,0.9567104263860258,0.8182239955460703,0.9766265056334603,39601,399,3519,8818,1833,32076.42938583063,15975334.03960775,33817.97161290418,166,3382.792962021562,1880970.2287460347,3669.8849068225986,True,False,0.7604334793636154,4337,0.99375,4000,0.38625,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,12,fixed,0.11,32000,2000,0.0625,0.0706,0.8888708762259868,0.7952139231327049,0.8394381291384392,0.9791921415254924,37176,2824,1371,10966,2000,35376.62194300063,17579531.417595826,37063.78516381476,167,3300.192557169999,1604197.3779880742,3245.813550910588,True,False,0.9024671431865344,4337,0.99675,4000,0.76625,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,12,recalibrated,0.4695314455470486,32000,2000,0.0625,0.009775,0.7975196563183918,0.9617790811339199,0.8719812115035228,0.9791921415254924,39609,391,2498,9839,2000,35376.62194300063,17579531.417595826,37063.78516381476,167,3300.192557169999,1604197.3779880742,3245.813550910588,True,False,0.7689647221581739,4337,0.9945,4000,0.6315,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,13,fixed,0.11,32167,2167,0.06736717754220163,0.05485,0.9013536516170868,0.8352110560312453,0.8670227281587463,0.970890564967172,37806,2194,1217,11120,2167,38611.1722573651,19395670.385173533,39410.730997519604,167,3234.5503143644646,1816138.9675777087,2346.945833704844,True,False,0.9043117362231957,4337,0.997,4000,0.8025,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
a1,rf,4,accumulate,fixed_ratio,0.1,13,recalibrated,0.42095238095238097,32167,2167,0.06736717754220163,0.01,0.8172165032017509,0.9618393436367105,0.8836495902537359,0.970890564967172,39600,400,2255,10082,2167,38611.1722573651,19395670.385173533,39410.730997519604,167,3234.5503143644646,1816138.9675777087,2346.945833704844,True,False,0.7982476366151717,4337,0.99325,4000,0.66175,4000,0.05,cicids,0.04825449394484695,0.034599089047555556,0.09829098187431472,2000
