scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,rf,5,accumulate,fixed_ratio,0.01,7,fixed,0.10614814814814814,30106,106,0.0035208928452800108,0.03095,0.896166004701305,0.8993004717748495,0.8977305022126588,0.9807946735430008,38762,1238,1281,11056,106,1371.0,1164756.0,8299.244911,15,203.0,179302.0,1230.654949,True,False,0.8581969103066636,4337,0.997,4000,0.8365,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,7,recalibrated,0.25179104477611935,30106,106,0.0035208928452800108,0.0098,0.8688498014103915,0.964719647196472,0.9142784032753326,0.9807946735430008,39608,392,1618,10719,106,1371.0,1164756.0,8299.244911,15,203.0,179302.0,1230.654949,True,False,0.8183075858888633,4337,0.99625,4000,0.79625,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,8,fixed,0.10614814814814814,30121,121,0.004017130905348428,0.041925,0.9137553700251276,0.8705019305019305,0.8916043816981056,0.9758752279727648,38323,1677,1064,11273,121,1608.0,1338058.0,9355.615986,15,237.0,173302.0,1056.371075,True,False,0.8692644685266313,4337,0.997,4000,0.87875,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,8,recalibrated,0.3299999999999999,30121,121,0.004017130905348428,0.009775,0.8682013455459188,0.9647811205188255,0.9139468407355263,0.9758752279727648,39609,391,1626,10711,121,1608.0,1338058.0,9355.615986,15,237.0,173302.0,1056.371075,True,False,0.8148489739451233,4337,0.9955,4000,0.79875,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,9,fixed,0.10614814814814814,30136,136,0.004512874966817096,0.04785,0.9133500851098322,0.8548020027309968,0.8831067048081821,0.9792687738104888,38086,1914,1069,11268,136,1790.0,1518337.0,10371.888906,15,182.0,180279.0,1016.27292,True,False,0.869495042656214,4337,0.99675,4000,0.8775,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,9,recalibrated,0.3306666666666666,30136,136,0.004512874966817096,0.01,0.8605819891383643,0.9636924752654987,0.9092232593988182,0.9792687738104888,39600,400,1720,10617,136,1790.0,1518337.0,10371.888906,15,182.0,180279.0,1016.27292,True,False,0.8166935669817846,4337,0.9945,4000,0.77425,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,10,fixed,0.10614814814814814,30152,152,0.0050411249668347044,0.051775,0.9053254437869822,0.8435800604229607,0.8733627868788365,0.972175052687039,37929,2071,1168,11169,152,1989.0,1709557.0,11568.837152,16,199.0,191220.0,1196.948246,True,False,0.8704173391745447,4337,0.99675,4000,0.85175,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,10,recalibrated,0.2766666666666666,30152,152,0.0050411249668347044,0.00805,0.875577531004296,0.9710535778496944,0.9208473637099868,0.972175052687039,39678,322,1535,10802,152,1989.0,1709557.0,11568.837152,16,199.0,191220.0,1196.948246,True,False,0.8344477749596495,4337,0.9965,4000,0.79925,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,11,fixed,0.10614814814814814,30167,167,0.005535850432591905,0.0652,0.9001377968712004,0.8098155035367899,0.8525911708253359,0.9833963797924942,37392,2608,1232,11105,167,2168.0,1867004.0,12626.513721,15,179.0,157447.0,1057.676569,True,False,0.8632695411574821,4337,0.99675,4000,0.8435,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,11,recalibrated,0.42666666666666664,30167,167,0.005535850432591905,0.01,0.8523952338493961,0.9633565408574569,0.9044854427385713,0.9833963797924942,39600,400,1821,10516,167,2168.0,1867004.0,12626.513721,15,179.0,157447.0,1057.676569,True,False,0.8030896933364077,4337,0.995,4000,0.76325,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,12,fixed,0.10614814814814814,30182,182,0.0060300841561195416,0.04685,0.906865526465105,0.8565303935078855,0.8809795661246506,0.9824426491448488,38126,1874,1149,11188,182,2350.0,2023945.0,13736.05899,15,182.0,156941.0,1109.545269,True,False,0.8699561909153793,4337,0.99625,4000,0.8575,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,12,recalibrated,0.3446666666666667,30182,182,0.0060300841561195416,0.00975,0.8573397098160006,0.9644387708580286,0.9077411603158256,0.9824426491448488,39610,390,1760,10577,182,2350.0,2023945.0,13736.05899,15,182.0,156941.0,1109.545269,True,False,0.8111597878718008,4337,0.99525,4000,0.7695,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,13,fixed,0.10614814814814814,30197,197,0.006523826870218896,0.05355,0.9036232471427413,0.8388261851015801,0.8700199008857846,0.9816659743049364,37858,2142,1189,11148,197,2520.0,2141376.0,14405.902823,15,170.0,117431.0,669.843833,True,False,0.8635001152870648,4337,0.997,4000,0.85375,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,13,recalibrated,0.31472727272727274,30197,197,0.006523826870218896,0.0086,0.8661749209694415,0.9688123300090662,0.9146231865451278,0.9816659743049364,39656,344,1651,10686,197,2520.0,2141376.0,14405.902823,15,170.0,117431.0,669.843833,True,False,0.816462992852202,4337,0.99525,4000,0.791,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,14,fixed,0.10614814814814814,30212,212,0.007017079306235933,0.05445,0.9033800761935641,0.8365233055618104,0.8686671862821512,0.9807719532706493,37822,2178,1192,11145,212,2696.0,2297403.0,15673.372873,15,176.0,156027.0,1267.47005,True,False,0.8651141341941434,4337,0.9965,4000,0.85175,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,14,recalibrated,0.4146666666666667,30212,212,0.007017079306235933,0.00965,0.8545837723919916,0.9646811236160674,0.9063010401444168,0.9807719532706493,39614,386,1794,10543,212,2696.0,2297403.0,15673.372873,15,176.0,156027.0,1267.47005,True,False,0.8056260087618169,4337,0.994,4000,0.76825,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,15,fixed,0.10614814814814814,30227,227,0.007509842194064909,0.068125,0.9091351219907595,0.804533390718026,0.8536418296674024,0.9829265745318959,37275,2725,1121,11216,227,2876.0,2466189.0,16873.684389000002,15,180.0,168786.0,1200.311516,True,False,0.8722619322112058,4337,0.9965,4000,0.86175,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,15,recalibrated,0.39608357628765795,30227,227,0.007509842194064909,0.009975,0.8580692226635325,0.9636777423759673,0.907812366006346,0.9829265745318959,39601,399,1751,10586,227,2876.0,2466189.0,16873.684389000002,15,180.0,168786.0,1200.311516,True,False,0.7989393590039198,4337,0.995,4000,0.78525,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,16,fixed,0.10614814814814814,30242,242,0.008002116262151974,0.0373,0.9084056091432277,0.8825104338924324,0.8952708100335516,0.9827732522088027,38508,1492,1130,11207,242,3067.0,2634562.0,18176.985899000003,15,191.0,168373.0,1303.30151,True,False,0.8773345630620244,4337,0.996,4000,0.8545,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,16,recalibrated,0.35200000000000004,30242,242,0.008002116262151974,0.008,0.8734700494447597,0.9711607786589762,0.9197285878888748,0.9827732522088027,39680,320,1561,10776,242,3067.0,2634562.0,18176.985899000003,15,191.0,168373.0,1303.30151,True,False,0.8176158635001153,4337,0.9955,4000,0.812,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,17,fixed,0.10614814814814814,30258,258,0.008526670632559984,0.075525,0.9089730080246413,0.7877766069546891,0.8440463645943097,0.9789318412093702,36979,3021,1123,11214,258,3267.0,2814725.0,19411.839356000004,16,200.0,180163.0,1234.853457,True,False,0.8655752824533087,4337,0.9965,4000,0.8685,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,17,recalibrated,0.4733333333333333,30258,258,0.008526670632559984,0.00965,0.8489908405609143,0.9644567219152854,0.9030478079061947,0.9789318412093702,39614,386,1863,10474,258,3267.0,2814725.0,19411.839356000004,16,200.0,180163.0,1234.853457,True,False,0.7934055798939359,4337,0.9945,4000,0.76375,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,18,fixed,0.10614814814814814,30273,273,0.009017936775344366,0.0494,0.9072708113804004,0.8499506416584403,0.8776758409785934,0.9788358292129367,38024,1976,1144,11193,273,3462.0,2994337.0,20568.436334000005,15,195.0,179612.0,1156.596978,True,False,0.868803320267466,4337,0.99675,4000,0.8595,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,18,recalibrated,0.24764227642276423,30273,273,0.009017936775344366,0.00995,0.8867633946664505,0.9648968071970365,0.924181626187962,0.9788358292129367,39602,398,1397,10940,273,3462.0,2994337.0,20568.436334000005,15,195.0,179612.0,1156.596978,True,False,0.8388286834217201,4337,0.99575,4000,0.82975,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,19,fixed,0.10614814814814814,30288,288,0.009508716323296355,0.04645,0.905973899651455,0.8574606827771385,0.881049976351884,0.981301370876226,38142,1858,1160,11177,288,3635.0,3176912.0,21419.158327000005,15,173.0,182575.0,850.721993,True,False,0.8690338943970487,4337,0.99675,4000,0.85525,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,19,recalibrated,0.24047972972972972,30288,288,0.009508716323296355,0.01,0.8694172002918051,0.9640481754449038,0.9142905851766612,0.981301370876226,39600,400,1611,10726,288,3635.0,3176912.0,21419.158327000005,15,173.0,182575.0,850.721993,True,False,0.8346783490892322,4337,0.9965,4000,0.78,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,20,fixed,0.10614814814814814,30303,303,0.00999900999901,0.02805,0.9088919510415823,0.9090393190109445,0.9089656290531777,0.9864715895274377,38878,1122,1124,11213,303,3832.0,3347782.0,22591.681827000004,15,197.0,170870.0,1172.5235,True,False,0.8761816924141111,4337,0.9965,4000,0.85675,4000,,cicids
s0,rf,5,accumulate,fixed_ratio,0.01,20,recalibrated,0.16,30303,303,0.00999900999901,0.0095,0.893410067277296,0.9666725135941063,0.9285985087830154,0.9864715895274377,39620,380,1315,11022,303,3832.0,3347782.0,22591.681827000004,15,197.0,170870.0,1172.5235,True,False,0.8595803550841595,4337,0.99625,4000,0.82725,4000,,cicids
