scenario,model,seed,retention,budget_mode,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,rf,2,accumulate,fixed_ratio,0.01,0,fixed,0.11599999999999999,30000,0,0.0,0.05865,0.8708762259868688,0.8207792207792208,0.8450859322767137,0.9692105161303396,37654,2346,1593,10744,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8600415033433249,4337,0.99675,4000,0.75675,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,0,recalibrated,0.3502222222222222,30000,0,0.0,0.009825,0.8430736807976007,0.9635908838243469,0.8993126107820675,0.9692105161303396,39607,393,1936,10401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8060871570209822,4337,0.99525,4000,0.731,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,1,fixed,0.11599999999999999,30015,15,0.0004997501249375312,0.059225,0.8668233768339142,0.8186480900252622,0.8420472440944882,0.9584496443624868,37631,2369,1643,10694,15,201.0,179140.0,1378.174581,15,201.0,179140.0,1378.174581,True,False,0.8450541849204519,4337,0.99675,4000,0.7605,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,1,recalibrated,0.22666666666666666,30015,15,0.0004997501249375312,0.01,0.8562049120531734,0.9635136367782541,0.906695278969957,0.9584496443624868,39600,400,1774,10563,15,201.0,179140.0,1378.174581,15,201.0,179140.0,1378.174581,True,False,0.8296057182384137,4337,0.9955,4000,0.74575,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,2,fixed,0.11599999999999999,30030,30,0.000999000999000999,0.037475,0.887168679581746,0.8795403407264545,0.8833380412412735,0.9771569415173867,38501,1499,1392,10945,30,476.0,325945.0,2365.539927,15,275.0,146805.0,987.365346,True,False,0.8754899700253631,4337,0.996,4000,0.791,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,2,recalibrated,0.47533333333333333,30030,30,0.000999000999000999,0.00995,0.8367512361189916,0.9628765973323384,0.8953942232630757,0.9771569415173867,39602,398,2014,10323,30,476.0,325945.0,2365.539927,15,275.0,146805.0,987.365346,True,False,0.7788794097302283,4337,0.995,4000,0.74125,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,3,fixed,0.11599999999999999,30045,45,0.0014977533699450823,0.041725,0.8878981924292778,0.8677810346193456,0.877724358974359,0.9850665021885385,38331,1669,1383,10954,45,657.0,495411.0,3462.281287,15,181.0,169466.0,1096.74136,True,False,0.8598109292137422,4337,0.9965,4000,0.80975,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,3,recalibrated,0.4866666666666667,30045,45,0.0014977533699450823,0.0095,0.8419388830347735,0.9647069750162534,0.8991516620498615,0.9850665021885385,39620,380,1950,10387,45,657.0,495411.0,3462.281287,15,181.0,169466.0,1096.74136,True,False,0.7945584505418493,4337,0.994,4000,0.74125,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,4,fixed,0.11599999999999999,30061,61,0.0020292072785336483,0.032525,0.8960849477182459,0.8947070249271609,0.8953954562021625,0.9842251712328767,38699,1301,1282,11055,61,860.0,675093.0,4891.471547,16,203.0,179682.0,1429.19026,True,False,0.8593497809545769,4337,0.9965,4000,0.8355,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,4,recalibrated,0.455,30061,61,0.0020292072785336483,0.009625,0.8435600226959552,0.9643254262416605,0.8999092048942885,0.9842251712328767,39615,385,1930,10407,61,860.0,675093.0,4891.471547,16,203.0,179682.0,1429.19026,True,False,0.7964030435785104,4337,0.9945,4000,0.74375,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,5,fixed,0.11599999999999999,30076,76,0.0025269317728421332,0.054425,0.875577531004296,0.8322675090530858,0.8533733607204931,0.9633961021723272,37823,2177,1535,10802,76,1046.0,838068.0,6007.05439,15,186.0,162975.0,1115.582843,True,False,0.8621166705095689,4337,0.99675,4000,0.769,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,5,recalibrated,0.4133333333333333,30076,76,0.0025269317728421332,0.00905,0.8456675042554916,0.9664659564613247,0.9020404634272868,0.9633961021723272,39638,362,1904,10433,76,1046.0,838068.0,6007.05439,15,186.0,162975.0,1115.582843,True,False,0.8037814157251556,4337,0.99475,4000,0.742,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,6,fixed,0.11599999999999999,30091,91,0.0030241600478548404,0.047075,0.8986787711761368,0.8548188126445644,0.8762002607974078,0.9828074258328605,38117,1883,1250,11087,91,1246.0,1018260.0,7224.257193,15,200.0,180192.0,1217.202803,True,False,0.8775651371916071,4337,0.9965,4000,0.82375,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,6,recalibrated,0.4666666666666666,30091,91,0.0030241600478548404,0.009675,0.8411283132041826,0.9640468227424749,0.8984026665512315,0.9828074258328605,39613,387,1960,10377,91,1246.0,1018260.0,7224.257193,15,200.0,180192.0,1217.202803,True,False,0.7910998385981093,4337,0.994,4000,0.7425,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,7,fixed,0.11599999999999999,30106,106,0.0035208928452800108,0.0376,0.8860338818189187,0.8790510655408122,0.882528661391894,0.9739436907270811,38496,1504,1406,10931,106,1462.0,1190260.0,8233.191262,15,216.0,172000.0,1008.934069,True,False,0.8519714088079318,4337,0.99625,4000,0.81275,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,7,recalibrated,0.4093333333333333,30106,106,0.0035208928452800108,0.0098,0.8506119802220962,0.9639904464449752,0.9037592042371787,0.9739436907270811,39608,392,1843,10494,106,1462.0,1190260.0,8233.191262,15,216.0,172000.0,1008.934069,True,False,0.8053954346322343,4337,0.99425,4000,0.756,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,8,fixed,0.11599999999999999,30121,121,0.004017130905348428,0.06435,0.8927616114128232,0.8105681483662055,0.8496817743490839,0.9722449967577207,37426,2574,1323,11014,121,1647.0,1370626.0,9188.675928,15,185.0,180366.0,955.484666,True,False,0.8662670048420568,4337,0.9965,4000,0.81775,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,8,recalibrated,0.28,30121,121,0.004017130905348428,0.00965,0.860338818189187,0.9649090909090909,0.9096284869520503,0.9722449967577207,39614,386,1723,10614,121,1647.0,1370626.0,9188.675928,15,185.0,180366.0,955.484666,True,False,0.8217661978326032,4337,0.996,4000,0.7665,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,9,fixed,0.11599999999999999,30136,136,0.004512874966817096,0.04195,0.8874118505309232,0.867099635672422,0.8771381644834356,0.9766387938720921,38322,1678,1389,10948,136,1827.0,1534764.0,10072.670283000001,15,180.0,164138.0,883.994355,True,False,0.8669587272308047,4337,0.9965,4000,0.8005,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,9,recalibrated,0.30666666666666664,30136,136,0.004512874966817096,0.009775,0.853205803679987,0.9641842997160393,0.9053066139158854,0.9766387938720921,39609,391,1811,10526,136,1827.0,1534764.0,10072.670283000001,15,180.0,164138.0,883.994355,True,False,0.819229882407194,4337,0.995,4000,0.74825,4000,,cicids
s0,rf,2,accumulate,fixed_ratio,0.01,10,fixed,0.11599999999999999,30152,152,0.0050411249668347044,0.05975,0.8859528248358596,0.8205705705705706,0.8520091982694782,0.977690442368485,37610,2390,1407,10930,152,2083.0,1708020.0,11297.479228000002,16,256.0,173256.0,1224.808945,True,False,0.8787180078395204,4337,0.99625,4000,0.7835,4000,,cicids
