scenario,model,seed,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,dataset
s0,xgboost,2,0.2,0,fixed,0.07150885462760925,30000,0,0.0,0.043,0.8753343600551188,0.8626088345714514,0.868925008046347,0.9834592121261246,38280,1720,1538,10799,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8690338943970487,4337,0.99675,4000,0.76075,4000,,cicids
s0,xgboost,2,0.2,0,recalibrated,0.3517208993434906,30000,0,0.0,0.006325,0.7968712004539191,0.974910749702499,0.8769457205298603,0.9834592121261246,39747,253,2506,9831,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.8095457689647222,4337,0.99475,4000,0.58525,4000,,cicids
s0,xgboost,2,0.2,1,fixed,0.07150885462760925,30375,375,0.012345679012345678,0.05255,0.8847369700899732,0.83851885995237,0.861008124950698,0.9871083863581097,37898,2102,1422,10915,375,5248.0,4273480.0,28265.757576,375,5248.0,4273480.0,28265.757576,True,False,0.8628083928983168,4337,0.997,4000,0.79625,4000,,cicids
s0,xgboost,2,0.2,1,recalibrated,0.3185694217681885,30375,375,0.012345679012345678,0.00555,0.8536110885952825,0.9793545987166372,0.9121697704634041,0.9871083863581097,39778,222,1806,10531,375,5248.0,4273480.0,28265.757576,375,5248.0,4273480.0,28265.757576,True,False,0.81715471524095,4337,0.9955,4000,0.75125,4000,,cicids
s0,xgboost,2,0.2,2,fixed,0.07150885462760925,30750,750,0.024390243902439025,0.0701,0.9196725297884413,0.8018374558303887,0.8567221655906673,0.9882362192996677,37196,2804,991,11346,750,9950.0,8487246.0,55918.801165,375,4702.0,4213766.0,27653.043589,True,False,0.8715702098224579,4337,0.99725,4000,0.89425,4000,,cicids
s0,xgboost,2,0.2,2,recalibrated,0.22617870569229126,30750,750,0.024390243902439025,0.00985,0.8714436248682824,0.9646478241363841,0.9156800953922154,0.9882362192996677,39606,394,1586,10751,750,9950.0,8487246.0,55918.801165,375,4702.0,4213766.0,27653.043589,True,False,0.8180770117592806,4337,0.99625,4000,0.8045,4000,,cicids
s0,xgboost,2,0.2,3,fixed,0.07150885462760925,31125,1125,0.03614457831325301,0.07495,0.933776444840723,0.7934977269596363,0.8579407931483894,0.9876131352841048,37002,2998,817,11520,1125,14703.0,12676005.0,84750.987646,375,4753.0,4188759.0,28832.186481,True,False,0.8754899700253631,4337,0.997,4000,0.93375,4000,,cicids
s0,xgboost,2,0.2,3,recalibrated,0.31824952363967896,31125,1125,0.03614457831325301,0.00955,0.868363459512037,0.9655700766110861,0.9143905769887334,0.9876131352841048,39618,382,1624,10713,1125,14703.0,12676005.0,84750.987646,375,4753.0,4188759.0,28832.186481,True,False,0.8120820843901314,4337,0.99575,4000,0.802,4000,,cicids
s0,xgboost,2,0.2,4,fixed,0.07150885462760925,31500,1500,0.047619047619047616,0.0685,0.9262381454162276,0.806592786052093,0.8622849381225476,0.9880573650401232,37260,2740,910,11427,1500,19462.0,16902488.0,113947.713391,375,4759.0,4226483.0,29196.725745,True,False,0.8874798247636615,4337,0.99675,4000,0.89775,4000,,cicids
s0,xgboost,2,0.2,4,recalibrated,0.2546153962612152,31500,1500,0.047619047619047616,0.009925,0.8639863824268461,0.9640918958031838,0.9112982516137307,0.9880573650401232,39603,397,1678,10659,1500,19462.0,16902488.0,113947.713391,375,4759.0,4226483.0,29196.725745,True,False,0.8127738067788794,4337,0.99575,4000,0.78775,4000,,cicids
s0,xgboost,2,0.2,5,fixed,0.07150885462760925,31875,1875,0.058823529411764705,0.0759,0.9278592850774094,0.7903749223227232,0.8536167039522745,0.9887383359001378,36964,3036,890,11447,1875,24233.0,21109741.0,142693.807704,375,4771.0,4207253.0,28746.094313,True,False,0.8771039889324418,4337,0.99675,4000,0.914,4000,,cicids
s0,xgboost,2,0.2,5,recalibrated,0.281150221824646,31875,1875,0.058823529411764705,0.00875,0.8724163086649915,0.9685053540898048,0.9179530916844351,0.9887383359001378,39650,350,1574,10763,1875,24233.0,21109741.0,142693.807704,375,4771.0,4207253.0,28746.094313,True,False,0.8194604565367766,4337,0.99625,4000,0.806,4000,,cicids
s0,xgboost,2,0.2,6,fixed,0.07150885462760925,32250,2250,0.06976744186046512,0.0733,0.9289940828402367,0.7962898631279094,0.8575383464272351,0.9882694090945935,37068,2932,876,11461,2250,29129.0,25251395.0,170534.66700800002,375,4896.0,4141654.0,27840.859304,True,False,0.8757205441549458,4337,0.99725,4000,0.9185,4000,,cicids
s0,xgboost,2,0.2,6,recalibrated,0.32473647594451904,32250,2250,0.06976744186046512,0.008975,0.8794682661911324,0.9679721652243732,0.921600271808375,0.9882694090945935,39641,359,1487,10850,2250,29129.0,25251395.0,170534.66700800002,375,4896.0,4141654.0,27840.859304,True,False,0.8100069172238875,4337,0.99575,4000,0.8385,4000,,cicids
s0,xgboost,2,0.2,7,fixed,0.07150885462760925,32625,2625,0.08045977011494253,0.07525,0.9379914079597957,0.7935811274173639,0.8597644786210484,0.9890214760476616,36990,3010,765,11572,2625,33726.0,29388650.0,198200.8776,375,4597.0,4137255.0,27666.210592,True,False,0.8849435093382523,4337,0.997,4000,0.9365,4000,,cicids
s0,xgboost,2,0.2,7,recalibrated,0.31308358907699585,32625,2625,0.08045977011494253,0.009925,0.8652022371727325,0.9641405473760275,0.9119958988380041,0.9890214760476616,39603,397,1663,10674,2625,33726.0,29388650.0,198200.8776,375,4597.0,4137255.0,27666.210592,True,False,0.8044731381139036,4337,0.99575,4000,0.8005,4000,,cicids
s0,xgboost,2,0.2,8,fixed,0.07150885462760925,33000,3000,0.09090909090909091,0.053225,0.9501499554186593,0.8462926864486319,0.8952191843592485,0.9917674323174192,37871,2129,615,11722,3000,38324.0,33530565.0,226601.868802,375,4598.0,4141915.0,28400.991202,True,False,0.8893244178003228,4337,0.99725,4000,0.969,4000,,cicids
s0,xgboost,2,0.2,8,recalibrated,0.24114122986793518,33000,3000,0.09090909090909091,0.01,0.8835211153440868,0.9646017699115044,0.9222828616152643,0.9917674323174192,39600,400,1437,10900,3000,38324.0,33530565.0,226601.868802,375,4598.0,4141915.0,28400.991202,True,False,0.8383675351625548,4337,0.9955,4000,0.8205,4000,,cicids
s0,xgboost,2,0.2,9,fixed,0.07150885462760925,33375,3375,0.10112359550561797,0.045125,0.9518521520629002,0.8667700029524653,0.9073208421865946,0.9908509888951933,38195,1805,594,11743,3375,42943.0,37704874.0,255066.213412,375,4619.0,4174309.0,28464.34461,True,False,0.8835600645607563,4337,0.9975,4000,0.98025,4000,,cicids
s0,xgboost,2,0.2,9,recalibrated,0.26245802640914917,33375,3375,0.10112359550561797,0.007625,0.8905730728702278,0.9729897272405242,0.9299589487494181,0.9908509888951933,39695,305,1350,10987,3375,42943.0,37704874.0,255066.213412,375,4619.0,4174309.0,28464.34461,True,False,0.8411344247175467,4337,0.996,4000,0.83875,4000,,cicids
s0,xgboost,2,0.2,10,fixed,0.07150885462760925,33750,3750,0.1111111111111111,0.036675,0.9470697900624139,0.8884495475629229,0.9168236032642813,0.991357729796547,38533,1467,653,11684,3750,47539.0,41946126.0,283076.314329,375,4596.0,4241252.0,28010.100917,True,False,0.8754899700253631,4337,0.998,4000,0.97375,4000,,cicids
s0,xgboost,2,0.2,10,recalibrated,0.2421182245016098,33750,3750,0.1111111111111111,0.009925,0.8899246170057551,0.9651019690576652,0.9259899633112639,0.991357729796547,39603,397,1358,10979,3750,47539.0,41946126.0,283076.314329,375,4596.0,4241252.0,28010.100917,True,False,0.8480516486050265,4337,0.9955,4000,0.82975,4000,,cicids
s0,xgboost,2,0.2,11,fixed,0.07150885462760925,34125,4125,0.12087912087912088,0.08055,0.9501499554186593,0.7843950749464668,0.8593526630255488,0.9901277275674799,36778,3222,615,11722,4125,52386.0,46230083.0,310807.048414,375,4847.0,4283957.0,27730.734085,True,False,0.8886326954115749,4337,0.998,4000,0.969,4000,,cicids
s0,xgboost,2,0.2,11,recalibrated,0.3617889881134033,34125,4125,0.12087912087912088,0.0098,0.862932641647078,0.9644863199855046,0.9108877005347593,0.9901277275674799,39608,392,1691,10646,4125,52386.0,46230083.0,310807.048414,375,4847.0,4283957.0,27730.734085,True,False,0.8019368226884943,4337,0.99575,4000,0.79625,4000,,cicids
s0,xgboost,2,0.2,12,fixed,0.07150885462760925,34500,4500,0.13043478260869565,0.053925,0.9521763799951366,0.8448647871116226,0.895316489463054,0.9911748480181568,37843,2157,590,11747,4500,57061.0,50243168.0,338226.60755200003,375,4675.0,4013085.0,27419.559138,True,False,0.8826377680424257,4337,0.99725,4000,0.9825,4000,,cicids
s0,xgboost,2,0.2,12,recalibrated,0.2803294360637665,34500,4500,0.13043478260869565,0.01,0.8861149388019778,0.9647017296152488,0.9237399129663273,0.9911748480181568,39600,400,1405,10932,4500,57061.0,50243168.0,338226.60755200003,375,4675.0,4013085.0,27419.559138,True,False,0.8196910306663593,4337,0.996,4000,0.84825,4000,,cicids
s0,xgboost,2,0.2,13,fixed,0.07150885462760925,34875,4875,0.13978494623655913,0.083125,0.957039798978682,0.7802669838752313,0.8596599803414758,0.9916633733889925,36675,3325,530,11807,4875,61801.0,54444888.0,366849.620506,375,4740.0,4201720.0,28623.012954,True,False,0.8990085312427946,4337,0.99675,4000,0.98025,4000,,cicids
s0,xgboost,2,0.2,13,recalibrated,0.3454076945781708,34875,4875,0.13978494623655913,0.00985,0.8847369700899732,0.9651604916438234,0.9232005413177704,0.9916633733889925,39606,394,1422,10915,4875,61801.0,54444888.0,366849.620506,375,4740.0,4201720.0,28623.012954,True,False,0.8222273460917685,4337,0.99575,4000,0.8415,4000,,cicids
s0,xgboost,2,0.2,14,fixed,0.07150885462760925,35250,5250,0.14893617021276595,0.0619,0.9523384939612548,0.8259402460456942,0.8846472404186433,0.99119699785199,37524,2476,588,11749,5250,66498.0,58566924.0,396065.521166,375,4697.0,4122036.0,29215.90066,True,False,0.8879409730228268,4337,0.9975,4000,0.977,4000,,cicids
s0,xgboost,2,0.2,14,recalibrated,0.27230310440063477,35250,5250,0.14893617021276595,0.009125,0.8847369700899732,0.9676418439716312,0.9243341660668163,0.99119699785199,39635,365,1422,10915,5250,66498.0,58566924.0,396065.521166,375,4697.0,4122036.0,29215.90066,True,False,0.8245330873875951,4337,0.99575,4000,0.839,4000,,cicids
s0,xgboost,2,0.2,15,fixed,0.07150885462760925,35625,5625,0.15789473684210525,0.0636,0.9582556537245683,0.8229152164833635,0.8854435831180018,0.9925996372700008,37456,2544,515,11822,5625,71281.0,62693408.0,424665.02057399997,375,4783.0,4126484.0,28599.499408,True,False,0.8987779571132118,4337,0.998,4000,0.983,4000,,cicids
s0,xgboost,2,0.2,15,recalibrated,0.29891014099121094,35625,5625,0.15789473684210525,0.009975,0.9008673097187323,0.965343524711196,0.9319916142557652,0.9925996372700008,39601,399,1223,11114,5625,71281.0,62693408.0,424665.02057399997,375,4783.0,4126484.0,28599.499408,True,False,0.84228729536546,4337,0.995,4000,0.87025,4000,,cicids
s0,xgboost,2,0.2,16,fixed,0.07150885462760925,36000,6000,0.16666666666666666,0.08035,0.9572019129448002,0.7860613725620715,0.8632309941520467,0.9919355718570155,36786,3214,528,11809,6000,76036.0,66977770.0,453033.76467699994,375,4755.0,4284362.0,28368.744103,True,False,0.8918607332257321,4337,0.99775,4000,0.9875,4000,,cicids
