model,threshold_mode,threshold,val_fpr,val_tpr,eval_fpr,eval_tpr,eval_precision,eval_f1,eval_auroc,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,tpr_novel,n_novel
rf,fixed,0.002358,0.01,0.9983,0.0527,0.8987,0.88,0.8893,0.9494,,0,,0,,0,0.8987,60391
rf,recalibrated,0.022381,0.01,0.9983,0.0125,0.8897,0.9683,0.9273,0.9494,,0,,0,,0,0.8897,60391
xgboost,fixed,0.000108,0.01,0.9983,0.0034,0.6514,0.9882,0.7852,0.9698,,0,,0,,0,0.6514,60391
xgboost,recalibrated,3e-05,0.01,0.9983,0.01,0.6832,0.967,0.8007,0.9698,,0,,0,,0,0.6832,60391
autoencoder,fixed,4.121919,0.01,0.0017,0.0668,0.2373,0.6045,0.3408,0.894,,0,,0,,0,0.2373,60391
autoencoder,recalibrated,8.59314,0.01,0.0017,0.01,0.0,0.0014,0.0001,0.894,,0,,0,,0,0.0,60391
